Month,Number of new cases
"Jan 07, 2021",2373
"Jan 06, 2021",2820
"Jan 05, 2021",2265
"Jan 04, 2021",1252
"Jan 03, 2021",1565
"Jan 02, 2021",1422
"Jan 01, 2021",1417
"Dec 31, 2020",1924
"Dec 30, 2020",2414
"Dec 29, 2020",1598
"Dec 28, 2020",1612
"Dec 27, 2020",1362
"Dec 26, 2020",1652
"Dec 25, 2020",1826
"Dec 24, 2020",1752
"Dec 23, 2020",1677
"Dec 22, 2020",1605
"Dec 21, 2020",1031
"Dec 20, 2020",1536
"Dec 19, 2020",1569
"Dec 18, 2020",1616
"Dec 17, 2020",1419
"Dec 16, 2020",1306
"Dec 15, 2020",1880
"Dec 14, 2020",0
"Dec 13, 2020",968
"Dec 12, 2020",1289
"Dec 11, 2020",1290
"Dec 10, 2020",958
"Dec 09, 2020",1411
"Dec 08, 2020",1116
"Dec 07, 2020",327
"Dec 06, 2020",1011
"Dec 05, 2020",1091
"Dec 04, 2020",2620
"Dec 03, 2020",0
"Dec 02, 2020",2511
"Dec 01, 2020",0
"Nov 30, 2020",518
"Nov 29, 2020",1271
"Nov 28, 2020",1210
"Nov 27, 2020",1295
"Nov 26, 2020",1168
"Nov 25, 2020",1094
"Nov 24, 2020",1017
"Nov 23, 2020",485
"Nov 22, 2020",1240
"Nov 21, 2020",1206
"Nov 20, 2020",2493
"Nov 19, 2020",0
"Nov 18, 2020",2049
"Nov 17, 2020",720
"Nov 16, 2020",599
"Nov 15, 2020",1065
"Nov 14, 2020",1671
"Nov 13, 2020",1562
"Nov 12, 2020",1584
"Nov 11, 2020",1529
"Nov 10, 2020",1424
"Nov 9, 2020",450
"Nov 8, 2020",1576
"Nov 7, 2020",3209
"Nov 6, 2020",0
"Nov 5, 2020",1971
"Nov 4, 2020",1237
"Nov 3, 2020",1220
"Nov 2, 2020",791
"Nov 1, 2020",1302
"Oct 31, 2020",1784
"Oct 30, 2020",3751
"Oct 29, 2020",0
"Oct 28, 2020",1879
"Oct 27, 2020",0
"Oct 26, 2020",3600
"Oct 25, 2020",0
"Oct 24, 2020",1585
"Oct 23, 2020",1322
"Oct 22, 2020",0
"Oct 21, 2020",1422
"Oct 20, 2020",1723
"Oct 19, 2020",2185
"Oct 18, 2020",0
"Oct 17, 2020",5752
"Oct 16, 2020",0
"Oct 15, 2020",0
"Oct 14, 2020",2234
"Oct 13, 2020",0
"Oct 12, 2020",0
"Oct 11, 2020",1297
"Oct 10, 2020",4360
"Oct 9, 2020",0
"Oct 8, 2020",2357
"Oct 7, 2020",2312
"Oct 6, 2020",0
"Oct 5, 2020",0
"Oct 4, 2020",1286
"Oct 3, 2020",1223
"Oct 2, 2020",1308
"Oct 1, 2020",0
"Sep 30, 2020",1008
"Sep 29, 2020",1291
"Sep 28, 2020",0
"Sep 27, 2020",1722
"Sep 26, 2020",0
"Sep 25, 2020",1087
"Sep 24, 2020",826
"Sep 23, 2020",1219
"Sep 22, 2020",0
"Sep 21, 2020",528
"Sep 20, 2020",1622
"Sep 19, 2020",540
"Sep 18, 2020",0
"Sep 17, 2020",470
"Sep 16, 2020",477
"Sep 15, 2020",241
"Sep 14, 2020",747
"Sep 13, 2020",0
"Sep 12, 2020",376
"Sep 11, 2020",377
"Sep 10, 2020",465
"Sep 9, 2020",0
"Sep 8, 2020",293
"Sep 7, 2020",83
"Sep 6, 2020",265
"Sep 5, 2020",234
"Sep 4, 2020",148
"Sep 3, 2020",198
"Sep 2, 2020",223
"Sep 1, 2020",160
"Aug 31, 2020",118
"Aug 30, 2020",113
"Aug 29, 2020",111
"Aug 28, 2020",138
"Aug 27, 2020",117
"Aug 26, 2020",137
"Aug 25, 2020",176
"Aug 24, 2020",75
"Aug 23, 2020",80
"Aug 22, 2020",131
"Aug 21, 2020",64
"Aug 20, 2020",116
"Aug 19, 2020",113
"Aug 18, 2020",129
"Aug 17, 2020",78
"Aug 16, 2020",84
"Aug 15, 2020",120
"Aug 14, 2020",56
"Aug 13, 2020",67
"Aug 12, 2020",42
"Aug 11, 2020",21
"Aug 10, 2020",20
"Aug 9, 2020",19
"Aug 8, 2020",22
"Aug 7, 2020",14
"Aug 6, 2020",41
"Aug 5, 2020",17
"Aug 4, 2020",19
"Aug 3, 2020",4
"Aug 2, 2020",9
"Aug 1, 2020",17
"Jul 31, 2020",21
"Jul 30, 2020",26
"Jul 29, 2020",20
"Jul 28, 2020",13
"Jul 27, 2020",3
"Jul 26, 2020",9
"Jul 25, 2020",18
"Jul 24, 2020",19
"Jul 23, 2020",12
"Jul 22, 2020",5
"Jul 21, 2020",8
Jul 20. 2020,7
"Jul 19, 2020",26
"Jul 18, 2020",12
"Jul 17, 2020",9
"Jul 16, 2020",8
