Country,Securities in billion U.S. dollars
Japan,1276.2
"China, Mainland",1061.7
United Kingdom,428.9
Ireland,315.8
Brazil,265.1
Luxembourg,262.5
Switzerland,255.3
Hong Kong,245.5
Cayman Islands,231.6
Belgium,218.1
India,213.5
Taiwan,213.5
Singapore,159.0
France,135.4
Saudi Arabia,131.2
Canada,128.0
Korea,123.2
Norway,91.3
Thailand,83.2
Germany,74.8
Bermuda,73.6
Netherlands,69.2
Israel,51.5
Mexico,49.2
Philippines,46.7
Kuwait,46.6
Poland,44.1
Italy,44.0
Spain,41.3
Australia,38.3
Sweden,38.2
United Arab Emirates,33.1
Vietnam,30.4
All Other,551.1
