Month,Number of people
Mar 1,3
Mar 2,0
Mar 3,2
Mar 4,0
Mar 5,3
Mar 6,11
Mar 7,6
Mar 8,7
Mar 9,25
Mar 10,6
Mar 11,31
Mar 12,22
Mar 13,25
Mar 14,48
Mar 15,109
Mar 16,85
Mar 17,67
Mar 18,110
Mar 19,205
Mar 20,124
Mar 21,158
Mar 22,114
Mar 23,126
Mar 24,185
Mar 25,291
Mar 26,259
Mar 27,373
Mar 28,262
Mar 29,160
Mar 30,184
Mar 31,307
Apr 1,281
Apr 2,269
Apr 3,332
Apr 4,282
Apr 5,115
Apr 6,235
Apr 7,195
Apr 8,295
Apr 9,257
Apr 10,163
Apr 11,170
Apr 12,89
Apr 13,68
Apr 14,82
Apr 15,160
Apr 16,132
Apr 17,116
Apr 18,105
Apr 19,92
Apr 20,154
Apr 21,133
Apr 22,99
Apr 23,55
Apr 24,86
Apr 25,79
Apr 26,52
Apr 27,41
Apr 28,59
Apr 29,75
Apr 30,103
May 1,55
May 2,18
May 3,26
May 4,38
May 5,77
May 6,78
May 7,57
May 8,46
May 9,18
May 10,28
May 11,53
May 12,45
May 13,48
May 14,82
May 15,55
May 16,49
May 17,20
May 18,111
May 19,61
May 20,74
May 21,33
May 22,59
May 23,77
May 24,65
May 25,47
May 26,48
May 27,36
May 28,54
May 29,56
May 30,34
May 31,38
Jun 1,34
Jun 2,62
Jun 3,74
Jun 4,56
Jun 5,35
Jun 6,38
Jun 7,61
Jun 8,69
Jun 9,54
Jun 10,73
Jun 11,62
Jun 12,52
Jun 13,53
Jun 14,33
Jun 15,40
Jun 16,47
Jun 17,51
Jun 18,118
Jun 19,126
Jun 20,42
Jun 21,50
Jun 22,63
Jun 23,89
Jun 24,127
Jun 25,93
Jun 26,168
Jun 27,260
Jun 28,305
Jun 29,202
Jun 30,149
Jul 1,92
Jul 2,132
Jul 3,141
Jul 4,121
Jul 5,75
Jul 6,51
Jul 7,119
Jul 8,129
Jul 9,105
Jul 10,143
Jul 11,53
Jul 12,59
Jul 13,64
Jul 14,103
Jul 15,134
Jul 16,137
Jul 17,130
Jul 18,113
Jul 19,90
Jul 20,168
Jul 21,206
Jul 22,245
Jul 23,235
Jul 24,279
Jul 25,132
Jul 26,115
Jul 27,194
Jul 28,276
Jul 29,273
Jul 30,249
Jul 31,231
Aug 1,124
Aug 2,101
Aug 3,209
Aug 4,289
Aug 5,240
Aug 6,214
Aug 7,323
Aug 8,175
Aug 9,122
Aug 10,140
Aug 11,287
Aug 12,290
Aug 13,329
Aug 14,291
Aug 15,197
Aug 16,121
Aug 17,191
Aug 18,281
Aug 19,316
Aug 20,246
Aug 21,503
Aug 22,236
Aug 23,136
Aug 28,484
Aug 29,319
Aug 30,274
Sep 1,256
Sep 2,499
Sep 3,646
Sep 4,677
Sep 5,797
Sep 6,410
Sep 7,561
Sep 10,1382
Sep 15,1673
Sep 20,985
Sep 25,2947
Sep 30,2926
Oct 1,3496
Oct 2,3794
Oct 3,2555
Oct 4,1840
Oct 5,3118
Oct 6,4460
Oct 7,5338
Oct 8,5394
Oct 9,8615
Oct 10,4636
Oct 11,3104
Oct 12,4309
Oct 13,8324
Oct 14,9544
Oct 15,9722
Oct 16,11104
Oct 17,8713
Oct 18,5058
Oct 19,8075
Oct 20,11984
Oct 21,14968
Oct 22,14156
Oct 23,15254
Oct 24,12471
Oct 25,7301
Oct 26,10273
Oct 27,15663
Oct 28,12977
Oct 29,13051
Oct 30,13606
Oct 31,11428
Nov 1,6551
Nov 2,9240
Nov 3,12088
Nov 4,15727
Nov 5,13232
Nov 6,11549
Nov 7,7722
Nov 8,3608
Nov 9,6048
Nov 10,9015
Nov 11,8921
Nov 12,7874
Nov 13,7357
Nov 14,4198
Nov 15,1887
Nov 16,5410
Nov 17,4246
Nov 18,5515
Nov 19,6471
