Month,Gross lending in million GBP
Mar '20,44697
Feb '20,12959
Jan '20,16439
Dec '19,18668
Nov '19,16356
Oct '19,16150
Sep '19,16253
Aug '19,13570
Jul '19,17134
Jun '19,15250
May '19,15783
Apr '19,15292
Mar '19,17948
Feb '19,18528
Jan '19,21044
Dec '18,19296
Nov '18,16563
Oct '18,18289
Sep '18,15511
Aug '18,14300
Jul '18,22767
Jun '18,20856
May '18,17189
Apr '18,19408
Mar '18,21537
Feb '18,14632
Jan '18,15067
Dec '17,17948
Nov '17,12791
Oct '17,16897
Sep '17,14659
Aug '17,14965
Jul '17,25474
Jun '17,18727
May '17,16552
Apr '17,16031
Mar '17,18463
Feb '17,12714
Jan '17,16120
Dec '16,16284
Nov '16,15124
Oct '16,15043
Sep '16,15831
Aug '16,10945
Jul '16,14345
Jun '16,14375
May '16,14525
Apr 16,13418
Mar 16,14797
Feb 16,13202
Jan 16,16876
