Response,Share of respondents
Having good health,18.6%
Having economic stability,14.4%
Finding more serenity,10.9%
Realizing my projects,9.5%
Finding a job,7.4%
"Completing my projects (study, work...)",6%
Improving my lifestyle,5.5%
Nothing in particular,5.2%
Improving my fitness/doing sport,4.5%
Does not know/does not reply,4%
Spending more time with my family,4%
Losing weight,3.8%
"Eliminating some of my bad habits (smoking, alcohol, gambling etc.)",3.6%
Improving family relationships,1.7%
Others,0.9%
