Month,Price in GBP per bunch
Nov '19,0.22
Oct '19,0.27
Sep '19,0.26
Aug '19,0.27
Jul '19,0.26
Jun '19,0.26
May '19,0.27
Apr '19,0.28
Nov '18,0.28
Oct '18,0.25
Sep '18,0.26
Aug '18,0.25
Jul '18,0.26
Jun '18,0.24
May '18,0.27
Apr '18,0.28
Dec '17,0.15
Nov '17,0.28
Oct '17,0.26
Sep '17,0.24
Aug '17,0.25
Jul '17,0.25
Jun '17,0.27
May '17,0.26
Apr '17,0.31
Nov '16,0.21
Oct '16,0.23
Sep '16,0.23
Aug '16,0.23
Jul '16,0.25
Jun '16,0.25
May '16,0.27
Apr '16,0.3
Nov '15,0.23
Oct '15,0.23
Sep '15,0.23
Aug '15,0.23
Jul '15,0.24
Jun '15,0.24
May '15,0.24
Apr '15,0.25
