State,Additional tax burden per filer in U.S. dollars
Delaware,"15,843$"
Nebraska,"11,351$"
Minnesota,"10,770$"
Rhode Island,"9,838$"
Arkansas,"8,202$"
New Jersey,"7,298$"
Connecticut,"6,933$"
District of Columbia,"5,591$"
Missouri,"5,024$"
Illinois,"4,570$"
Virginia,"4,294$"
Massachusetts,"4,031$"
New York,"3,622$"
Wisconsin,"3,595$"
Pennsylvania,"3,547$"
California,"3,547$"
Colorado,"3,165$"
Texas,"3,104$"
Oklahoma,"3,075$"
Georgia,"2,928$"
Ohio,"2,898$"
Tennessee,"2,806$"
North Carolina,"2,616$"
Indiana,"2,421$"
Arizona,"2,213$"
Kansas,"2,118$"
Washington,"2,116$"
North Dakota,"1,899$"
Kentucky,"1,768$"
Iowa,"1,721$"
Maryland,"1,599$"
Michigan,"1,509$"
Utah,"1,496$"
Oregon,"1,432$"
Vermont,"1,223$"
Florida,"1,052$"
Louisiana,"1,039$"
South Carolina,"1,035$"
South Dakota,"1,026$"
Alabama,"1,014$"
West Virginia,818$
Hawaii,811$
Nevada,740$
Mississippi,727$
Alaska,711$
Wyoming,605$
Idaho,580$
Maine,558$
New Hampshire,487$
Montana,419$
New Mexico,390$
