Year,Gross domestic product in billion international dollars
2021*,347.81
2020*,327.41
2019,335.75
2018,314.5
2017,292.14
2016,274.86
2015,266.18
2014,253.69
2013,239.05
2012,230.4
2011,229.44
2010,220.73
2009,216.75
2008,230.56
2007,223.79
2006,217.41
2005,202.85
2004,188.71
2003,175.31
2002,165.36
2001,155.42
2000,146.13
1999,136.8
1998,130.84
1997,124.53
1996,118.68
1995,116.45
1994,111.24
1993,105.79
1992,103.94
1991,104.84
1990,115.1
1989,114.96
1988,109.82
1987,106.15
1986,99.55
1985,96.11
1984,93.4
