Year,Inflation rate compared to previous year
2025*,5%
2024*,5.01%
2023*,5.01%
2022*,5%
2021*,5%
2020*,5.3%
2019,5.2%
2018,4.69%
2017,7.99%
2016,6.32%
2015,6.58%
2014,6.88%
2013,5.72%
2012,9.38%
2011,14.02%
2010,4.31%
2009,10.55%
2008,15.1%
2007,4.27%
2006,6.04%
2005,7.82%
2004,8.38%
2003,5.98%
2002,2.16%
2001,5.82%
2000,7.77%
1999,4.98%
1998,5.61%
1997,12.1%
1996,8.86%
1995,1.55%
1994,28.81%
1993,45.98%
1992,27.33%
1991,20.08%
1990,17.78%
1989,13.79%
1988,12.27%
1987,8.64%
1986,2.53%
1985,13.01%
