Month,Index number of sales per week
Jun 20,112.9
May 20,77.0
Apr 20,75.6
Mar 20,126.1
Feb 20,123.0
Jan 20,112.8
Dec 19,126.4
Nov 19,138.5
Oct 19,131.0
Sep 19,137.1
Aug 19,141.8
Jul 19,141.9
Jun 19,144.8
May 19,142.1
Apr 19,136.4
Mar 19,137.7
Feb 19,146.3
Jan 19,142.0
Dec 18,129.2
Nov 18,135.9
Oct 18,137.4
Sep18,130.6
Aug 18,130.8
Jul 18,128.1
Jun 18,124.8
May 18,124.9
Apr 18,119.6
Mar 18,119.9
Feb 18,118.0
Jan 18,114.5
Dec 17,113.4
Nov 17,113.6
Oct 17,109.7
Sep 17,111.6
Aug 17,105.7
Jul 17,105.5
Jun 17,105.0
May 17,104.2
Apr 17,110.5
Mar 17,110.8
Feb 17,106.9
Jan 17,104.0
Dec 16,101.3
Nov 16,101.9
Oct 16,103.4
Sep 16,100.9
Aug 16,107.1
July 16,104.8
June 16,97.4
May 16,98.5
April 16,98.1
Mar 16,95.3
Feb 16,95.9
Jan 16,96.4
