Year,Number of marriages
2017,279582
2016,287328
2015,283559
2014,289841
2013,276527
2012,301254
2011,286634
2010,280444
2009,267898
2008,273207
2007,273920
2006,277611
2005,286826
2004,313551
2003,308623
2002,293021
2001,286129
2000,305912
1999,301083
1998,304797
1997,310218
1996,317513
1995,322251
1994,331232
1993,341608
1992,356013
1991,349739
1990,375410
1989,392042
1988,394051
1987,397937
1986,393939
1985,393117
1984,395800
1983,389286
1982,387021
1981,397846
1980,418446
1979,416927
1978,416376
1977,403938
1976,406024
1975,430678
1974,436346
1973,453665
1972,480285
1971,459389
1970,470987
1969,451627
1968,462758
1967,439092
1966,437083
1965,422054
1964,410163
1963,401137
1962,397818
1961,397101
1960,393598
1959,390178
1958,390356
1957,398955
1956,406266
1955,410630
1954,392859
1953,395316
1952,399762
1951,411399
1950,408033
1949,425965
1948,449969
1947,455087
1946,441192
1945,456720
1944,349239
1943,344764
1942,428819
1941,448507
1940,533866
1939,495115
1938,409101
1937,406117
1936,401684
1935,396368
1934,387471
1933,360022
1932,347300
1931,351868
1930,355971
1929,353709
1928,343440
1927,348098
1926,318332
1925,335827
1924,336258
1923,335582
1922,341971
1921,368216
1920,436286
1919,423463
1918,329489
1917,296148
1916,318303
1915,404990
1914,336931
1913,327503
1912,323809
1911,314377
1910,305977
1909,297863
1908,303765
1907,317125
1906,310693
1905,299475
1904,297439
1903,300842
1902,301342
1901,298203
1900,297050
1899,302810
1898,295137
1897,287920
1896,280790
1895,264246
1894,261156
1893,252832
1892,262788
1891,261599
1890,257346
1889,247040
1888,235935
1887,232245
