Year,Gross domestic product in billion international dollars
2022*,1366.0
2021*,1293.97
2020*,1339.81
2019,1282.06
2018,1218.12
2017,1157.29
2016,1121.15
2015,1093.57
2014,1025.31
2013,983.22
2012,943.75
2011,891.67
2010,799.49
2009,806.45
2008,784.79
2007,715.26
2006,656.37
2005,604.03
2004,549.96
2003,518.05
2002,483.48
2001,479.83
2000,441.46
1999,407.73
1998,386.92
1997,358.66
1996,331.72
1995,331.72
1994,305.08
1993,277.86
1992,254.11
1991,229.39
1990,204.74
1989,187.0
1988,165.51
1987,147.99
1986,128.09
1985,112.6
1984,104.14
