Month,Exchange rate
Dec' 20,4.56
Nov '20,4.47
Oct '20,4.62
Sep '20,4.55
Aug '20,4.4
Jul '20,4.4
Jun '20,4.46
May '20,4.45
Apr '20,4.53
Mar '20,4.55
Feb '20,4.33
Jan '20,4.3
Dec '19,4.26
Nov '19,4.32
Oct '19,4.26
Sep '19,4.37
Aug '19,4.38
Jul '19,4.29
Jun '19,4.25
May '19,4.28
Apr '19,4.29
Mar '19,4.3
Feb '19,4.31
Jan '19,4.27
Dec '18,4.3
Nov '18,4.29
Oct '18,4.34
Sep '18,4.28
Aug '18,4.29
Jul '18,4.28
Jun '18,4.37
May '18,4.31
Apr '18,4.23
Mar '18,4.21
Feb '18,4.18
Jan '18,4.15
Dec '17,4.18
Nov '17,4.2
Oct '17,4.24
Sep '17,4.3
Aug '17,4.26
Jul '17,4.25
Jun '17,4.23
May '17,4.17
Apr '17,4.22
Mar '17,4.23
Feb '17,4.31
Jan '17,4.32
Dec '16,4.44
Nov '16,4.39
Oct '16,4.31
Sep '16,4.32
Aug '16,4.35
Jul '16,4.36
Jun '16,4.44
May '16,4.39
Apr '16,4.4
Mar '16,4.26
Feb '16,4.35
Jan '16,4.44
Dec '15,4.26
