Month,Index (2015=100)
Jul 20,111.1
Jun 20,112.0
May 20,106.6
Apr 20,90.0
Mar 20,101.6
Feb 20,112.4
Jan 20,111.7
Dec 19,110.6
Nov 19,111.6
Oct 19,110.5
Sep 19,110.4
Aug 19,110.6
Jul 19,110.0
Jun 19,110.5
May 19,109.3
Apr 19,109.9
Mar 19,109.6
Feb 19,109.3
Jan 19,108.7
Dec 18,108.0
Nov 18,108.7
Oct 18,108.1
Sep 18,107.2
Aug 18,107.5
Jul 18,107.1
Jun 18,107.3
May 18,107.6
Apr 18,107.0
Mar 18,106.7
Feb 18,105.8
Jan 18,105.9
Dec 17,106.7
Nov 17,106.6
Oct 17,104.9
Sep 17,106.3
Aug 17,104.9
Jul 17,105.2
Jun 17,105.0
May 17,105.0
Apr 17,104.2
Mar 17,104.7
Feb 17,103.6
Jan 17,103.5
Dec 16,103.3
Nov 16,102.8
Oct 16,103.7
Sep 16,102.1
Aug 16,102.3
Jul 16,102.3
Jun 16,101.6
May 16,101.8
Apr 16,101.4
Mar 16,101.2
Feb 16,101.7
Jan 16,101.5
Dec 15,101.4
Nov 15,99.9
Oct 15,100.6
Sep 15,100.4
Aug 15,100.4
Jul 15,100.6
Jun 15,100.0
May 15,99.9
Apr 15,99.6
Mar 15,99.0
Feb 15,99.0
Jan 15,99.1
