Year,Number of new cases
1/5/21,733893
1/4/21,549954
1/3/21,535176
1/2/21,623132
1/1/21,539326
12/31/20,716166
12/30/20,756739
12/29/20,665688
12/28/20,488731
12/27/20,432920
12/26/20,512629
12/25/20,467535
12/24/20,671493
12/23/20,691597
12/22/20,646468
12/21/20,541953
12/20/20,533792
12/19/20,616376
12/18/20,717608
12/17/20,736424
12/16/20,733791
12/15/20,624433
12/14/20,524425
12/13/20,548600
12/12/20,623004
12/11/20,699049
12/10/20,670828
12/9/20,669493
12/8/20,637483
12/7/20,515100
12/6/20,539352
12/5/20,642896
12/4/20,680734
12/3/20,692480
12/2/20,647304
12/1/20,608495
11/30/20,505473
11/29/20,486344
11/28/20,598718
11/27/20,671089
11/26/20,584432
11/25/20,636005
11/24/20,589364
11/23/20,518957
11/22/20,488359
11/21/20,588864
11/20/20,667072
11/19/20,651901
11/18/20,626059
11/17/20,607886
11/16/20,531008
11/15/20,474242
11/14/20,595263
11/13/20,650889
11/12/20,647465
11/11/20,647608
11/10/20,557889
11/9/20,502474
11/8/20,479366
11/7/20,597993
11/6/20,643675
11/5/20,595543
11/4/20,510271
11/3/20,552555
11/2/20,560987
11/1/20,462201
10/31/20,476088
10/30/20,570190
10/29/20,550014
10/28/20,510783
10/27/20,469252
10/26/20,485998
10/25/20,360371
10/24/20,456753
10/23/20,496161
10/22/20,472204
10/21/20,444250
10/20/20,388639
10/19/20,386428
10/18/20,316631
10/17/20,372611
10/16/20,411227
10/15/20,406635
10/14/20,381885
10/13/20,318824
10/12/20,291130
10/11/20,287559
10/10/20,356565
10/9/20,360414
10/8/20,361286
10/7/20,350665
10/6/20,325873
10/5/20,300630
10/4/20,261907
10/3/20,332038
10/2/20,297396
10/1/20,318066
9/30/20,328127
9/29/20,281829
9/28/20,253970
9/27/20,251565
9/26/20,288126
9/25/20,330389
9/24/20,352304
9/23/20,275355
9/22/20,284055
9/21/20,275818
9/20/20,252076
9/19/20,292180
9/18/20,325644
9/17/20,314822
9/16/20,304074
9/15/20,285343
9/14/20,263271
9/13/20,242806
9/12/20,286479
9/11/20,321087
9/10/20,299947
9/9/20,284723
9/8/20,241851
9/7/20,217774
9/6/20,230750
9/5/20,269981
9/4/20,313825
9/3/20,281047
9/2/20,283525
9/1/20,264752
8/31/20,262647
8/30/20,221277
8/29/20,266531
8/28/20,283668
8/27/20,283742
8/26/20,284128
8/25/20,243725
8/24/20,225228
8/23/20,206408
8/22/20,264457
8/21/20,261046
8/20/20,272516
8/19/20,279852
8/18/20,258142
