Year,Number of recipients in thousands
2029-30*,2029.0
2028-29*,2030.0
2027-28*,2030.0
2026-27*,2027.0
2025-26*,2020.0
2024-25*,2013.0
2023-24*,2007.0
2022-23*,2002.0
2021-22*,2000.0
2020-21*,1998.0
2019-20*,1996.0
2018-19*,1989.0
2017-18,1980.64
2016-17,1956.11
2015-16,1920.75
2014-15,1894.97
2013-14,1870.15
2012-13,1840.38
2011-12,1792.16
2010-11,1716.05
2009-10,1649.92
2008-09,1601.4
2007-08,1563.73
2006-07,1524.73
2005-06,1485.1
2004-05,1439.26
2003-04,1399.54
2002-03,1348.81
2001-02,1291.9
2000-01,1244.17
1999-00,1237.88
1989-90,1051.34
1979-80,929.42
1969-70,792.32
1959-60,392.44
1949-50,432.06
1939-40,186.5
1929-30,122.48
1919-20,48.62
1909-10,37.2
1899-00,27.41
1889-90,15.54
1879-80,12.9
1869-70,9.37
