Month,Number of deaths
"Dec 17, 2020",992
"Dec 16, 2020",992
"Dec 15, 2020",982
"Dec 14, 2020",967
"Dec 13, 2020",956
"Dec 12, 2020",946
"Dec 11, 2020",938
"Dec 10, 2020",931
"Dec 9, 2020",924
"Dec 8, 2020",914
"Dec 7, 2020",907
"Dec 6, 2020",901
"Dec 5, 2020",892
"Dec 4, 2020",882
"Dec 3, 2020",875
"Dec 2, 2020",864
"Dec 1, 2020",858
"Nov 30, 2020",848
"Nov 29, 2020",841
"Nov 28, 2020",830
"Nov 27, 2020",824
"Nov 26, 2020",811
"Nov 25, 2020",802
"Nov 24, 2020",797
"Nov 23, 2020",789
"Nov 22, 2020",784
"Nov 21, 2020",781
"Nov 20, 2020",778
"Nov 19, 2020",773
"Nov 18, 2020",770
"Nov 17, 2020",768
"Nov 16, 2020",764
"Nov 15, 2020",760
"Nov 14, 2020",757
"Nov 13, 2020",756
"Nov 12, 2020",755
"Nov 11, 2020",753
"Nov 10, 2020",750
"Nov 9, 2020",747
"Nov 8, 2020",743
"Nov 7, 2020",740
"Nov 6, 2020",738
"Nov 5, 2020",733
"Nov 4, 2020",729
"Nov 3, 2020",728
"Nov 2, 2020",724
"Nov 1, 2020",723
"Oct 31, 2020",721
"Oct 30, 2020",719
"Oct 29, 2020",716
"Oct 28, 2020",715
"Oct 27, 2020",709
"Oct 26, 2020",708
"Oct 25, 2020",708
"Oct 24, 2020",706
"Oct 23, 2020",704
"Oct 22, 2020",699
"Oct 21, 2020",695
"Oct 20, 2020",691
"Oct 19, 2020",688
"Oct 18, 2020",687
"Oct 17, 2020",684
"Oct 16, 2020",679
"Oct 15, 2020",677
"Oct 14, 2020",677
"Oct 13, 2020",676
"Oct 12, 2020",675
"Oct 11, 2020",672
"Oct 10, 2020",670
"Oct 9, 2020",667
"Oct 8, 2020",666
"Oct 7, 2020",664
"Oct 6, 2020",663
"Oct 5, 2020",663
"Oct 4, 2020",661
"Oct 3, 2020",658
"Oct 2, 2020",655
"Oct 1, 2020",653
"Sep 30, 2020",651
"Sep 29, 2020",651
"Sep 28, 2020",650
"Sep 27, 2020",649
"Sep 26, 2020",649
"Sep 25, 2020",648
"Sep 24, 2020",647
"Sep 23, 2020",645
"Sep 22, 2020",644
"Sep 21, 2020",642
"Sep 20, 2020",641
"Sep 19, 2020",638
"Sep 18, 2020",635
"Sep 17, 2020",635
"Sep 16, 2020",635
"Sep 15, 2020",634
"Sep 14, 2020",633
"Sep 13, 2020",633
"Sep 12, 2020",631
"Sep 11, 2020",630
"Sep 10, 2020",629
"Sep 9, 2020",629
"Sep 8, 2020",628
"Sep 7, 2020",628
"Sep 6, 2020",628
"Sep 5, 2020",627
"Sep 4, 2020",627
"Sep 3, 2020",627
"Sep 2, 2020",626
"Sep 1, 2020",626
"Aug 31, 2020",626
"Aug 30, 2020",624
"Aug 29, 2020",624
"Aug 28, 2020",624
"Aug 27, 2020",624
"Aug 26, 2020",624
"Aug 25, 2020",624
"Aug 24, 2020",623
"Aug 23, 2020",623
"Aug 22, 2020",623
"Aug 21, 2020",622
"Aug 20, 2020",621
"Aug 19, 2020",621
"Aug 18, 2020",621
"Aug 17, 2020",621
"Aug 16, 2020",621
"Aug 15, 2020",621
"Aug 14, 2020",621
"Aug 13, 2020",621
"Aug 12, 2020",621
"Aug 11, 2020",621
"Aug 10, 2020",621
"Aug 9, 2020",620
"Aug 8, 2020",618
"Aug 7, 2020",617
"Aug 6, 2020",617
"Aug 5, 2020",617
"Aug 4, 2020",616
"Aug 3, 2020",616
"Aug 2, 2020",616
"Aug 1, 2020",616
"Jul 31, 2020",616
"Jul 30, 2020",615
"Jul 29, 2020",615
"Jul 28, 2020",614
"Jul 27, 2020",613
"Jul 26, 2020",613
"Jul 25, 2020",613
"Jul 24, 2020",613
"Jul 23, 2020",613
"Jul 22, 2020",613
"Jul 21, 2020",611
"Jul 20, 2020",611
"Jul 19, 2020",611
"Jul 18, 2020",611
"Jul 17, 2020",611
"Jul 16, 2020",610
"Jul 15, 2020",610
"Jul 14, 2020",610
"Jul 13, 2020",610
"Jul 12, 2020",610
"Jul 11, 2020",610
"Jul 10, 2020",610
"Jul 09, 2020",609
"Jul 08, 2020",609
"Jul 07, 2020",609
"Jul 06, 2020",609
"Jul 05, 2020",607
"Jul 04, 2020",607
"Jul 03, 2020",606
"Jul 02, 2020",606
"Jul 01, 2020",606
"Jun 30, 2020",606
"Jun 29, 2020",606
"Jun 28, 2020",606
"Jun 27, 2020",605
"Jun 26, 2020",605
"Jun 25, 2020",605
"Jun 24, 2020",604
"Jun 23, 2020",604
"Jun 22, 2020",603
"Jun 21, 2020",603
"Jun 20, 2020",603
"Jun 19, 2020",602
"Jun 18, 2020",601
"Jun 17, 2020",600
"Jun 16, 2020",599
"Jun 15, 2020",598
"Jun 14, 2020",598
"Jun 13, 2020",597
"Jun 12, 2020",597
"Jun 11, 2020",594
"Jun 10, 2020",593
"Jun 09, 2020",593
"Jun 08, 2020",593
"Jun 07, 2020",593
"Jun 06, 2020",591
"Jun 05, 2020",588
"Jun 04, 2020",586
"Jun 03, 2020",582
"Jun 02, 2020",581
"Jun 01, 2020",580
"May 31, 2020",577
"May 30, 2020",575
"May 29, 2020",571
"May 28, 2020",570
"May 27, 2020",570
"May 26, 2020",569
"May 25, 2020",566
"May 24, 2020",566
"May 23, 2020",565
"May 22, 2020",564
"May 21, 2020",563
"May 20, 2020",563
"May 19, 2020",558
"May 18, 2020",556
"May 17, 2020",553
"May 16, 2020",550
"May 15, 2020",547
"May 14, 2020",541
"May 13, 2020",541
"May 12, 2020",536
"May 11, 2020",529
"May 10, 2020",525
"May 09, 2020",520
"May 08, 2020",517
"May 07, 2020",513
"May 06, 2020",507
"May 05, 2020",501
"May 04, 2020",498
"May 03, 2020",491
"May 02, 2020",482
"May 01, 2020",474
"Apr 30, 2020",463
"Apr 29, 2020",454
"Apr 28, 2020",445
"Apr 27, 2020",435
"Apr 26, 2020",426
"Apr 25, 2020",421
"Apr 24, 2020",416
"Apr 23, 2020",410
"Apr 22, 2020",400
"Apr 21, 2020",386
"Apr 20, 2020",374
"Apr 19, 2020",367
"Apr 18, 2020",361
"Apr 17, 2020",351
"Apr 16, 2020",342
"Apr 15, 2020",330
"Apr 14, 2020",320
"Apr 13, 2020",308
"Apr 12, 2020",292
"Apr 11, 2020",281
"Apr 10, 2020",270
"Apr 09, 2020",254
"Apr 08, 2020",241
"Apr 07, 2020",226
"Apr 06, 2020",214
"Apr 05, 2020",197
"Apr 04, 2020",185
"Apr 03, 2020",170
"Apr 02, 2020",150
"Apr 01, 2020",132
"Mar 31, 2020",110
"Mar 30, 2020",95
"Mar 29, 2020",84
"Mar 28, 2020",76
"Mar 27, 2020",67
"Mar 26, 2020",55
"Mar 25, 2020",43
"Mar 24, 2020",37
"Mar 23, 2020",31
"Mar 22, 2020",25
"Mar 21, 2020",22
"Mar 20, 2020",19
"Mar 19, 2020",15
"Mar 18, 2020",10
"Mar 17, 2020",6
"Mar 16, 2020",5
"Mar 15, 2020",4
"Mar 14, 2020",2
"Mar 13, 2020",1
"Mar 12, 2020",1
"Mar 11, 2020",1
