Field of research,Number of degrees
Business,386201
Health professions and related programs,244909
Social sciences and history,159967
Engineering,121956
Biological and biomedical sciences,118663
Psychology,116432
"Communication, journalism, and related programs",92290
Visual and performing arts,88582
Education,82621
Computer and information sciences,79598
"Homeland security, law enforcement, and firefighting",58114
"Parks, recreation, leisure, and fitness studies",53883
Multi/interdisciplinary studies,51909
"Liberal arts and sciences, general studies, and humanities",44262
English language and literature/letters,40002
Agriculture and natural resources,39314
Public administration and social services,35629
Physical sciences and science technologies,31542
Mathematics and statistics,25256
Family and consumer sciences/human sciences,24349
Engineering technologies,18727
"Foreign languages, literatures, and linguistics",16958
Philosophy and religious studies,9603
Theology and religious vocations,9521
Architecture and related services,8464
"Area, ethnic, cultural, gender, and group studies",7717
Transportation and materials moving,4924
Legal professions and studies,4239
Communications technologies,4231
Military technologies and applied sciences,655
Library science,81
Precision production,45
