Year,GDP per capita in U.S. dollars
2025*,10888.24
2024*,10051.29
2023*,9290.93
2022*,8381.12
2021*,7658.85
2020*,7715.37
2019,9150.86
2018,9506.84
2017,10628.9
2016,10891.19
2015,10973.59
2014,12022.18
2013,12395.37
2012,11552.69
2011,11140.95
2010,10475.57
2009,8881.76
2008,10691.76
2007,9562.94
2006,7898.99
2005,7277.94
2004,5952.83
2003,4642.9
2002,3589.39
2001,3053.28
2000,4218.86
1999,4019.0
1998,4387.31
1997,4220.6
1996,4095.58
1995,3877.1
1994,3024.16
1993,4259.48
1992,3817.29
1991,3686.18
1990,3735.77
1989,2707.19
1988,2335.49
1987,2259.89
1986,1982.41
1985,1833.86
