Industry,Real value added in billion chained (2012) U.S. dollars
"Finance, insurance, real estate, rental, and leasing",433.11
Professional and business services,211.36
Information,162.04
Government and government enterprises,154.88
"Educational services, health care, and social assistance",146.19
Retail trade,71.56
"Arts, entertainment, recreation, accommodation, and food services",66.9
Wholesale trade,65.57
Manufacturing,64.83
Construction,40.01
Transportation and warehousing,31.65
Utilities,20.65
"Agriculture, forestry, fishing, and hunting",4.28
"Mining, quarrying, and oil and gas extraction",1.14
