Month,Number of viewers in thousands
December 2020,15.11
November 2020,19.02
October 2020,15.64
September 2020,15.94
August 2020,15.41
July 2020,15.79
June 2020,17.33
May 2020,19.12
April 2020,16.62
March 2020,18.56
February 2020,20.02
January 2020,25.46
December 2019,22.09
November 2019,22.75
October 2019,22.35
September 2019,25.54
August 2019,33.62
July 2019,29.48
June 2019,29.2
May 2019,32.01
April 2019,28.74
March 2019,27.44
February 2019,26.84
January 2019,40.12
December 2018,37.82
November 2018,29.34
October 2018,31.28
September 2018,37.43
August 2018,47.64
July 2018,60.53
June 2018,52.0
May 2018,59.35
April 2018,69.03
March 2018,63.28
February 2018,64.69
January 2018,72.26
