financial product,Expenditure in Canadian dollars
Shelter,18637
Income taxes,14993
Transportation,12707
Food expenditures,8527
Personal insurance payments and pension contributions,5137
Household operations,4827
Recreation,3986
Clothing and accessories,3430
Health care,2579
Household furnishings and equipment,2314
"Gifts of money, support payments and charitable contributions",2218
Miscellaneous expenditures,1785
Education,1777
Tobacco products and alcoholic beverages,1497
Personal care,1300
Games of chance,200
Reading materials and other printed matter,158
