Month,Price in GBP per kilogram
Nov '19,1.91
Oct '19,1.63
Sep '19,1.62
Aug '19,1.68
Jul '19,1.7
Jun '19,1.23
May '19,1.51
Apr '19,1.35
Dec '18,1.0
Nov '18,1.43
Oct '18,1.52
Sep '18,1.75
Aug '18,2.1
Jul '18,1.38
Jun '18,1.29
May '18,1.06
Dec '17,1.05
Nov '17,0.95
Oct '17,0.86
Sep '17,0.87
Aug '17,0.83
Jul '17,0.91
Jun '17,0.85
May '17,0.97
Apr '17,1.12
Mar '17,1.25
Dec '16,1.13
Nov '16,0.76
Oct '16,0.75
Sep '16,0.8
Aug '16,0.91
Jul '16,0.94
Jun '16,0.97
May '16,0.96
Apr '16,1.03
Dec '15,0.63
Nov '15,0.63
Oct '15,0.65
Sep '15,0.68
Aug '15,0.64
Jul '15,0.65
Jun '15,0.75
May '15,0.83
Apr '15,0.95
