Response,Share of respondents
Photos/videos/music/e-books,72%
Personal e-mail messages,62%
Address book/phone contacts,56%
Files for personal use,51%
SMS or MMS,39%
Files for work use,37%
Work e-mails messages,34%
Passwords for personal e-mail accounts,34%
Passwords for personal online accounts,33%
Sensitive info I would not want others to see,25%
Banking details,23%
Other payment credentials,20%
Passwords for your work e-mail account,19%
Passwords for work VPN/intranet access,12%
Any financial data,28%
Any passwords or account details/logins,48%
Any private/personal information,88%
