Month,Number of hours watched in millions
November 2020,82.98
October 2020,85.67
September 2020,77.69
August 2020,98.77
July 2020,105.29
June 2020,111.44
May 2020,122.0
April 2020,97.1
March 2020,66.2
February 2020,55.3
January 2020,53.8
December 2019,64.1
November 2019,56.6
October 2019,75.3
September 2019,60.4
August 2019,89.0
July 2019,90.5
June 2019,92.8
May 2019,107.0
April 2019,100.0
March 2019,101.0
February 2019,84.0
January 2019,127.0
December 2018,118.0
November 2018,110.0
October 2018,112.0
September 2018,106.0
August 2018,131.0
July 2018,151.0
June 2018,127.0
May 2018,144.0
April 2018,128.0
March 2018,119.0
February 2018,65.4
January 2018,45.8
