Year,Population in millions
2020,109.58
2019,108.12
2018,106.65
2017,105.17
2016,103.66
2015,102.11
2014,100.51
2013,98.87
2012,97.21
2011,95.57
2010,93.97
2009,92.41
2008,90.9
2007,89.41
2006,87.89
2005,86.33
2004,84.71
2003,83.05
2002,81.37
2001,79.67
2000,77.99
1999,76.33
1998,74.67
1997,73.03
1996,71.4
1995,69.78
1994,68.18
1993,66.59
1992,65.02
1991,63.45
1990,61.9
1989,60.34
1988,58.79
1987,57.26
1986,55.76
1985,54.28
1984,52.83
1983,51.41
1982,50.02
1981,48.67
1980,47.36
1979,46.08
1978,44.84
1977,43.63
1976,42.45
1975,41.29
1974,40.14
1973,39.02
1972,37.92
1971,36.85
1970,35.8
1969,34.79
1968,33.8
1967,32.82
1966,31.86
1965,30.91
1964,29.96
1963,29.01
1962,28.08
1961,27.16
1960,26.27
1959,25.41
1958,24.57
1957,23.75
1956,22.96
1955,22.18
1954,21.41
1953,20.67
1952,19.95
1951,19.25
1950,18.58
1949,18.0
1948,17.5
1947,17.0
1946,16.5
1945,16.1
1944,15.7
1943,15.4
1942,15.1
1941,14.8
1940,14.6
1939,14.3
1938,14.0
1937,13.7
1936,13.3
1935,13.0
1934,12.7
1933,12.4
1932,12.1
1931,11.9
1930,11.6
1929,11.3
1928,11.0
1927,10.8
1926,10.6
1925,10.4
1924,10.2
1923,9.97
1922,9.78
1921,9.59
1920,9.41
1919,9.23
1918,9.06
1917,8.89
1916,8.72
1915,8.55
1914,8.39
1913,8.23
1912,8.07
1911,7.92
1910,7.77
1909,7.62
1908,7.48
1907,7.34
1906,7.2
1905,7.07
1904,6.93
1903,6.81
1902,6.69
1901,6.59
1900,6.48
1899,6.38
1898,6.29
1897,6.2
1896,6.11
1895,6.03
1894,5.96
1893,5.88
1892,5.81
1891,5.74
1890,5.67
1889,5.6
1888,5.53
1887,5.46
1886,5.4
1885,5.33
1884,5.26
1883,5.2
1882,5.14
1881,5.07
1880,5.01
1879,4.95
1878,4.89
1877,4.83
1876,4.76
1875,4.7
1874,4.64
1873,4.58
1872,4.51
1871,4.45
1870,4.38
1869,4.32
1868,4.25
1867,4.19
1866,4.13
1865,4.06
1864,4.0
1863,3.94
1862,3.87
1861,3.81
1860,3.75
1859,3.68
1858,3.62
1857,3.56
1856,3.5
1855,3.44
1854,3.38
1853,3.33
1852,3.27
1851,3.22
1850,3.16
1849,3.11
1848,3.06
1847,3.0
1846,2.95
1845,2.9
1844,2.86
1843,2.81
1842,2.76
1841,2.72
1840,2.67
1839,2.62
1838,2.58
1837,2.54
1836,2.5
1835,2.45
1834,2.41
1833,2.37
1832,2.33
1831,2.29
1830,2.25
1829,2.22
1828,2.18
1827,2.15
1826,2.12
1825,2.09
1824,2.07
1823,2.04
1822,2.02
1821,2.0
1820,1.98
1819,1.97
1818,1.95
1817,1.94
1816,1.93
1815,1.92
1814,1.91
1813,1.9
1812,1.9
1811,1.9
1810,1.89
1809,1.89
1808,1.89
1807,1.89
1806,1.89
1805,1.89
1804,1.89
1803,1.89
1802,1.89
1801,1.89
1800,1.89
