Country,Index value in points
France,97.98
Germany,97.9
Italy,97.8
United Kingdom,97.08
Belgium,96.62
Netherlands,96.59
Sweden,96.43
Switzerland,95.62
Austria,95.45
Finland,93.65
Portugal,93.18
Turkey,92.7
Russian Federation,92.69
Denmark,92.63
United States,92.59
Canada,92.32
India,92.13
Greece,92.04
Spain,91.49
"Egypt, Arab Rep",91.47
Argentina,90.97
Hungary,90.81
Poland,90.78
Romania,90.6
"Korea, Rep",90.6
China,90.29
Brazil,89.83
Czech Republic,89.54
Norway,89.28
South Africa,89.18
Australia,88.81
Ukraine,88.32
Mexico,87.76
Indonesia,87.6
Japan,87.51
Morocco,87.02
Bulgaria,86.75
Chile,86.51
Croatia,85.79
Serbia,85.68
Nigeria,85.24
Malaysia,84.88
Pakistan,84.76
Slovak Republic,84.48
Peru,84.07
Tunisia,83.22
Senegal,82.81
Slovenia,82.74
Philippines,81.88
Ghana,81.82
Ireland,81.52
Uruguay,81.47
Thailand,81.29
Jordan,81.21
Algeria,79.88
Kenya,79.19
Colombia,79.16
"Iran, Islamic Rep",78.96
Lithuania,78.67
Estonia,78.63
Cuba,78.49
Cyprus,78.11
New Zealand,77.56
Latvia,77.27
Ecuador,77.22
Ethiopia,77.06
Sri Lanka,77.0
Guatemala,76.85
Tanzania,76.0
Bosnia and Herzegovina,74.97
Israel,74.33
Costa Rica,74.23
Belarus,74.19
Bangladesh,73.98
Vietnam,73.76
El Salvador,73.35
Cote d'Ivoire,73.04
Azerbaijan,73.03
Cameroon,72.82
Paraguay,72.56
Bolivia,72.28
Uganda,71.24
Dominican Republic,71.11
"Venezuela, RB",71.11
Burkina Faso,71.09
North Macedonia,70.88
Kazakhstan,70.76
Luxembourg,70.66
Zambia,70.65
Moldova,70.14
Benin,70.14
Qatar,70.02
Armenia,69.31
Mali,69.18
Zimbabwe,69.16
Guinea,69.12
Mongolia,68.82
"Congo, Dem Rep",68.54
Singapore,68.14
Lebanon,67.74
