Month,Value in million GBP
Jul 20,2193.6
Jun 20,2349.4
May 20,2194.4
Apr 20,1794.6
Mar 20,1512.4
Feb 20,1320.6
Jan 20,1376.1
Dec 19,2074.5
Nov 19,1804.0
Oct 19,1450.2
Sep 19,1320.9
Aug 19,1330.7
Jul 19,1416.7
Jun 19,1351.2
May 19,1378.0
Apr 19,1347.9
Mar 19,1345.2
Feb 19,1243.2
Jan 19,1278.7
Dec 18,1854.6
Nov 18,1816.9
Oct 18,1332.9
Sep 18,1219.0
Aug 18,1192.9
Jul 18,1246.2
Jun 18,1248.2
May 18,1264.2
Apr 18,1178.2
Mar 18,1175.7
Feb 18,1093.9
Jan 18,1126.9
Dec 17,1641.6
Nov 17,1608.4
Oct 17,1179.7
Sep 17,1090.7
Aug 17,1046.7
Jul 17,1074.4
Jun 17,1078.9
May 17,1043.1
Apr 17,1042.7
Mar 17,1009.1
Feb 17,949.0
Jan 17,992.4
Dec 16,1505.6
Nov 16,1460.5
Oct 16,1076.8
Sep 16,960.5
Aug 16,879.6
Jul 16,894.2
Jun 16,898.5
May 16,890.5
Apr 16,854.0
Mar 16,811.7
Feb 16,776.5
Jan 16,854.4
Dec 15,1157.2
Nov 15,1137.7
Oct 15,828.4
Sep 15,763.7
Aug 15,711.9
Jul 15,758.9
Jun 15,766.8
May 15,744.6
Apr 15,756.3
Mar 15,727.7
Feb 15,691.0
Jan 15,750.9
Dec 14,1067.4
Nov 14,989.9
Oct 14,742.2
Sep 14,667.5
Aug 14,655.0
Jul 14,670.6
Jun 14,673.4
May 14,680.8
Apr 14,661.5
Mar 14,646.7
Feb 14,620.2
Jan 14,629.4
Dec 13,960.4
Nov 13,827.0
Oct 13,662.6
Sep 13,606.2
Aug 13,576.2
Jul 13,584.0
Jun 13,585.8
May 13,584.0
Apr 13,575.2
Mar 13,592.8
Feb 13,554.2
Jan 13,566.9
