State,Number of establishments
California,3679
New York,2034
Texas,1888
Pennsylvania,1262
Illinois,1247
Florida,1088
Wisconsin,990
New Jersey,979
Ohio,893
Michigan,812
Washington,796
Oregon,672
Minnesota,667
Georgia,641
North Carolina,634
Massachusetts,598
Colorado,588
Indiana,492
Missouri,492
Iowa,483
Virginia,433
Maryland,374
Tennessee,366
Louisiana,334
Utah,333
Connecticut,311
Kansas,308
Nebraska,283
Alabama,283
Kentucky,272
Oklahoma,268
Hawaii,267
Arkansas,262
Arizona,258
Idaho,230
Maine,218
South Carolina,212
Nevada,208
Vermont,202
Mississippi,195
New Mexico,156
Montana,153
Alaska,149
Rhode Island,143
South Dakota,123
New Hampshire,118
North Dakota,114
West Virginia,84
Delaware,60
Wyoming,53
District of Columbia,23
