President,Number of Twitter followers in millions
Andrés Manuel López Obrador - Mexico (@lopezobrador_),5.54
Mauricio Macri - Argentina (@MauricioMacri),4.81
Jair Bolsonaro - Brazil(@jairbolsonaro),4.16
Nicolás Maduro - Venezuela (@NicolasMaduro),3.63
Sebastián Piñera - Chile (@sebastianpinera),2.22
Iván Duque - Colombia(@IvanDuque),0.86
Lenín Moreno - Ecuador(@Lenin),0.69
Danilo Medina - Dominican Republic (@DaniloMedina),0.69
Juan Carlos Varela - Panama (@JC_Varela),0.55
Martín Vizcarra - Peru (@MartinVizcarraC),0.55
Evo Morales - Bolivia(@evoespueblo),0.54
Juan Orlando Hernández - Honduras (@JuanOrlandoH),0.36
Mario Abdo Benítez - Paraguay (@MaritoAbdo),0.29
Jovenel Moïse - Haiti(@moisejovenel),0.21
Jimmy Morales - Guatemala (@jimmymorealesgt),0.19
Miguel Díaz-Canel - Cuba (@DiazCanelB),0.13
Salvador Sánchez - El Salvador (@sanchezceren),0.12
Carlos Alvarado Quesada - Costa Rica (@CarlosAlvQ),0.1
