province of China,Average annual salary in yuan
Beijing,166803
Shanghai,149377
Tibet,118118
Tianjin,108002
Zhejiang,99654
Guangdong,98889
Jiangsu,96527
Qinghai,90929
Average,90501
Yunnan,86585
Chongqing,86559
Ningxia,83947
Sichuan,83367
Guizhou,83298
Hainan,82227
Fujian,81814
Shandong,81446
Inner Mongolia,80563
Xinjiang,79421
Hubei,79303
Anhui,79037
Shaanxi,78361
Guangxi,76479
Hunan,74316
Jilin,73813
Jiangxi,73725
Gansu,73607
Hebei,72956
Liaoning,72891
Shanxi,69551
Heilongjiang,68416
Henan,67268
