Response,Share of respondents who trust news media
Finland,56%
Portugal,56%
Turkey,55%
Netherlands,52%
Brazil,51%
Kenya,50%
South Africa,48%
Ireland,48%
Denmark,46%
Belgium,45%
Poland,45%
Germany,45%
Norway,45%
Switzerland,44%
Canada,44%
Austria,40%
Croatia,39%
Mexico,39%
Australia,38%
Sweden,38%
Romania,38%
Japan,37%
Spain,36%
Singapore,36%
Bulgaria,33%
Czech Republic,33%
Argentina,33%
Hong Kong,30%
Chile,30%
Italy,29%
United States,29%
Greece,28%
Slovakia,28%
United Kingdom,28%
Hungary,27%
Philippines,27%
Malaysia,25%
Taiwan,24%
France,23%
South Korea,21%
