Year,Number of people
11/10,31
10/10,31
09/10,28
08/10,31
07/10,32
06/10,37
05/10,46
04/10,46
03/10,49
02/10,51
01/10,50
30/09,55
29/09,60
28/09,62
27/09,65
26/09,68
25/09,71
24/09,81
23/09,89
22/09,100
21/09,107
20/09,109
19/09,106
18/09,108
17/09,117
16/09,126
15/09,139
14/09,141
13/09,137
12/09,151
11/09,162
10/09,195
09/09,221
08/09,264
07/09,295
06/09,311
05/09,327
04/09,357
03/09,391
02/09,432
01/09,450
31/08,481
30/08,501
29/08,510
28/08,543
27/08,558
26/08,603
25/08,644
24/08,659
23/08,604
22/08,631
21/08,647
20/08,642
19/08,694
18/08,682
17/08,674
16/08,680
15/08,681
14/08,679
13/08,681
12/08,685
11/08,673
10/08,664
09/08,658
08/08,659
07/08,632
06/08,600
05/08,538
04/08,483
03/08,439
02/08,408
01/08,401
31/07,366
30/07,330
29/07,323
28/07,275
"27/07""",259
26/07,241
25/07,239
24/07,217
23/07,211
22/07,214
21/07,183
20/07,156
19/07,135
18/07,116
17/07,126
16/07,114
15/07,111
14/07,90
13/07,92
12/07,67
11/07,55
10/07,54
09/07,45
08/07,46
07/07,39
06/07,34
05/07,30
04/07,29
03/07,27
02/07,24
01/07,18
30/06,14
29/06,15
28/06,11
27/06,12
26/06,12
25/06,16
24/06,16
23/06,19
22/06,16
21/06,15
20/06,17
19/06,15
18/06,14
17/06,16
16/06,17
15/06,17
14/06,16
13/06,16
12/06,17
11/06,18
10/06,20
09/06,19
08/06,19
07/06,18
06/06,21
05/06,21
04/06,23
03/06,25
02/06,26
01/06,20
31/05,21
30/05,22
29/05,23
28/05,27
27/05,30
26/05,30
25/05,31
24/05,33
23/05,35
22/05,39
21/05,41
20/05,43
19/05,47
18/05,45
17/05,50
16/05,49
15/05,46
14/05,51
13/05,50
12/05,47
11/05,49
10/05,43
09/05,51
08/05,56
07/05,58
06/05,62
05/05,66
04/05,70
03/05,75
02/05,79
01/05,83
30/04,89
29/04,93
28/04,109
27/04,113
26/04,115
25/04,129
24/04,138
23/04,152
22/04,162
21/04,167
20/04,170
19/04,177
18/04,184
17/04,192
16/04,201
15/04,214
14/04,230
13/04,227
12/04,239
11/04,240
10/04,236
09/04,262
08/04,263
07/04,305
