Occupation,Employment growth in percent
Solar photovoltaic installers,63.3%
Wind turbine service technicians,56.9%
Home health aides,36.6%
Personal care aides,36.4%
Occupational therapy assistants,33.1%
Information security analysts,31.6%
Physician assistants,31.1%
Statisticians,30.7%
Nurse practitioners,28.2%
Speech-language pathologists,27.3%
Physical therapist assistants,27.1%
Genetic counselors,27%
Mathematicians,26%
Operations research analysts,25.6%
"Software developers, applications",25.6%
