Year,Inflation rate compared to previous year
2025*,0.35%
2024*,0.35%
2023*,0.35%
2022*,0.35%
2021*,0.51%
2020*,0.29%
2019,-0.42%
2018,1.05%
2017,-1.26%
2016,-0.38%
2015,-0.31%
2014,-0.21%
2013,0.39%
2012,0.11%
2011,0.14%
2010,0.23%
2009,1.03%
2008,2.09%
2007,0.97%
2006,0.15%
2005,0.95%
2004,0.9%
2003,0.3%
2002,-2.29%
2001,0.6%
2000,1.17%
1999,-0.01%
1998,-0.42%
1997,1.71%
1996,1.97%
1995,5.97%
1994,2.45%
1993,4.29%
1992,1.26%
1991,1.58%
1990,2.13%
1989,1.31%
1988,1.19%
1987,1.28%
1986,1.78%
1985,2.3%
