Year,Number of personnel
2020,145.32
2019,144.43
2018,146.56
2017,149.37
2016,151.0
2015,153.72
2014,159.63
2013,170.71
2012,179.8
2011,186.4
2010,191.7
2009,188.4
2008,187.1
2007,190.4
2006,195.9
2005,201.1
2004,207.0
2003,206.9
2002,204.7
2001,205.6
2000,207.6
1999,208.6
1998,210.1
1997,210.8
1996,221.9
1995,233.3
1994,254.5
1993,274.8
1992,293.4
1991,298.1
1990,305.8
1989,311.6
1988,316.9
1987,319.8
1986,322.5
1985,326.2
1984,325.9
1983,320.6
1982,327.6
1981,333.8
1980,320.6
1979,315.0
1978,320.7
1977,330.5
1976,336.6
1975,338.4
1974,349.3
1973,367.0
1972,371.4
1971,368.0
1970,373.0
1969,383.0
1968,395.8
1967,406.6
1966,409.5
1965,414.6
1964,416.7
1963,417.5
1962,434.0
1961,457.5
1960,521.1
1959,566.5
1958,615.5
1957,703.9
1956,762.3
1955,804.7
1954,840.1
1953,868.0
1952,871.7
1951,823.8
1950,696.4
1949,759.5
1948,830.0
1947,1255.0
1946,1937.8
1945,4906.4
1944,4691.1
1943,4452.8
1942,3880.8
1941,3285.4
1940,1812.6
1939,1068.85
1938,384.8
1937,352.4
1936,339.3
1935,320.8
1934,317.4
1933,316.4
1932,316.8
1931,319.1
1930,317.3
1929,325.6
1928,330.7
1927,339.3
1926,341.0
1925,342.3
1924,339.3
1923,334.7
1922,368.0
1921,438.5
1920,597.7
1919,1604.7
1918,4583.3
1917,4333.0
1916,3834.8
1915,2825.8
1914,1478.4
1913,393.3
1912,389.8
1911,388.3
1910,383.7
1909,381.4
1908,379.3
1907,376.5
1906,392.1
1905,401.1
1904,418.3
1903,451.8
1902,520.2
1901,539.8
1900,416.4
