State,Number of children
Alabama,541
Alaska,362
Arizona,2907
Arkansas,743
California,5287
Colorado,757
Connecticut,496
Delaware,84
District of Columbia,107
Florida,3218
Georgia,881
Hawaii,121
Idaho,218
Illinois,1648
Indiana,844
Iowa,827
Kansas,688
Kentucky,909
Louisiana,620
Maine,291
Maryland,340
Massachusetts,586
Michigan,2098
Minnesota,635
Mississippi,313
Missouri,1271
Montana,234
Nebraska,452
Nevada,729
New Hampshire,120
New Jersey,1016
New Mexico,315
New York,1903
North Carolina,1164
North Dakota,96
Ohio,1400
Oklahoma,1382
Oregon,846
Pennsylvania,1849
Puerto Rico,11
Rhode Island,202
South Carolina,449
South Dakota,159
Tennessee,1121
Texas,5150
Utah,605
Vermont,161
Virginia,621
Washington,1302
West Virginia,831
Wisconsin,726
Wyoming,11
