Response,Share of respondents
Magazine in any format,31%
Print version of a magazine,19%
Both a print and a digital version of a magazine,9%
Digital version of a magazine,2%
Newspaper in any format,29%
Print version of a newspaper,14%
Both a print and a digital version of a newspaper,12%
Digital version of a newspaper,3%
News apps for your smartphone or tablet,15%
Digital news site,10%
Print or digital newsletter,9%
"Public television, public radio, or other nonprofit journalism",17%
Public television,10%
Other nonprofit journalism,8%
Public radio,7%
