Date,Year-over-year change in seated restaurant diners
2/24,-6%
2/25,-5%
2/26,-5%
2/27,-8%
2/28,-2%
2/29,-3%
3/1,-2%
3/2,-7%
3/3,-11%
3/4,-9%
3/5,-12%
3/6,-5%
3/7,-3%
3/8,1%
3/9,-18%
3/10,-17%
3/11,-14%
3/12,-24%
3/13,-26%
3/14,-20%
3/15,-31%
3/16,-52%
3/17,-82%
3/18,-88%
3/19,-91.08%
3/20,-93.93%
3/21,-99.96%
3/22,-99.99%
3/23,-100%
3/24,-100%
3/25,-100%
3/26,-100%
3/27,-100%
3/28,-100%
3/29,-100%
3/30,-100%
3/31,-100%
4/1,-100%
4/2,-100%
4/3,-100%
4/4,-100%
4/5,-100%
4/6,-100%
4/7,-100%
4/8,-100%
4/9,-100%
4/10,-100%
4/11,-100%
4/12,-100%
4/13,-100%
4/14,-100%
4/15,-100%
4/16,-100%
4/17,-100%
4/18,-100%
4/19,-100%
4/20,-100%
4/21,-100%
4/22,-100%
4/23,-100%
4/24,-100%
4/25,-100%
4/26,-100%
4/27,-100%
4/28,-100%
4/29,-100%
4/30,-100%
5/1,-100%
5/2,-100%
5/3,-100%
5/4,-100%
5/5,-100%
5/6,-100%
5/7,-100%
5/8,-100%
5/9,-100%
5/10,-100%
5/11,-99.49%
5/12,-99.3%
5/13,-99.32%
5/14,-98.92%
5/15,-99.12%
5/16,-97.5%
5/17,-98.88%
5/18,-99.38%
5/19,-98.85%
5/20,-99%
5/21,-98.64%
5/22,-98.87%
5/23,-98.02%
5/24,-98.56%
5/25,-99.96%
5/26,-98.98%
5/27,-99.31%
5/28,-99.22%
5/29,-99.02%
5/30,-98.05%
5/31,-99%
6/1,-98.98%
6/2,-99.27%
6/3,-98.89%
6/4,-98.34%
6/5,-98.48%
6/6,-97.58%
6/7,-98.77%
6/8,-98.71%
6/9,-98.96%
6/10,-99.06%
6/11,-98.8%
6/12,-98.74%
6/13,-98.18%
6/14,-99.27%
6/15,-99.28%
6/16,-99.27%
6/17,-99.24%
6/18,-98.98%
6/19,-98.74%
6/20,-97.93%
6/21,-98.56%
6/22,-99.25%
6/23,-99.36%
6/24,-98.95%
6/25,-99.12%
6/26,-98.91%
6/27,-98.33%
6/28,-99.25%
6/29,-99.57%
6/30,-99.34%
7/1,-99.25%
7/2,-99.33%
7/3,-98.26%
7/4,-88.28%
7/5,-60.92%
7/6,-68.99%
7/7,-70.88%
7/8,-67.34%
7/9,-64.96%
7/10,-51.07%
7/11,-44.65%
7/12,-40.37%
7/13,-64.46%
7/14,-65.86%
7/15,-57.37%
7/16,-53.68%
7/17,-36.58%
7/18,-29.89%
7/19,-31.96%
7/20,-47.11%
7/21,-49.86%
7/22,-42.58%
7/23,-40.53%
7/24,-28.75%
7/25,-26.77%
7/26,-24.19%
7/27,-43.56%
7/28,-41.99%
7/29,-35.94%
7/30,-29.15%
7/31,-19.21%
8/1,-13.87%
8/2,-13.46%
8/3,9.99%
8/4,5.04%
8/5,20.49%
8/6,-30.65%
8/7,-20.05%
8/8,-14.76%
8/9,-19.85%
8/10,47.79%
8/11,34.31%
8/12,43.69%
8/13,-30.35%
8/14,-20.38%
8/15,-10.08%
8/16,-13.95%
8/17,70.24%
8/18,57.63%
8/19,58.12%
8/20,-11.87%
8/21,-8.61%
8/22,11.72%
8/23,-5.84%
8/24,69.96%
8/25,105.92%
8/26,102.88%
8/27,-9.39%
8/28,-3.19%
8/29,9.44%
8/30,32.07%
8/31,216.34%
9/1,2.05%
9/2,2.11%
9/3,-14.16%
9/4,-2.65%
9/5,10.04%
9/6,7.52%
9/7,-62.84%
9/8,-4.57%
9/9,4.19%
9/10,-7.98%
9/11,-0.34%
9/12,10.01%
9/13,8.86%
9/14,10.47%
9/15,0.41%
9/16,3.25%
9/17,-8.14%
9/18,-1.2%
9/19,10.82%
9/20,11.94%
9/21,6.01%
9/22,0.46%
9/23,-4.74%
9/24,-18.3%
9/25,-9.34%
9/26,1.15%
9/27,1.65%
9/28,-2.09%
9/29,-7.84%
9/30,-9.34%
10/1,-16.72%
10/2,-15.3%
10/3,-4.03%
10/4,-4.76%
10/5,-18.31%
10/6,-21.6%
10/7,-12.09%
10/8,-14.8%
10/9,-4.04%
10/10,5.5%
10/11,4.72%
10/12,-20.04%
10/13,-24.4%
10/14,-18.12%
10/15,-15.21%
10/16,-5.73%
10/17,-10.85%
10/18,-8.87%
10/19,-25.72%
10/20,-26.97%
10/21,-26.54%
10/22,-20.59%
10/23,-14.96%
10/24,-8.03%
10/25,-1.96%
10/26,-5.87%
10/27,-10.82%
10/28,-1.65%
10/29,-3.32%
10/30,0.02%
10/31,-4.88%
11/1,11.23%
11/2,21.81%
11/3,47.08%
11/4,70.51%
11/5,-90.29%
11/6,-88.87%
11/7,-84.48%
11/8,-88.07%
11/9,-90.03%
11/10,-91.26%
11/11,-89.33%
11/12,-90.15%
11/13,-88.28%
11/14,-84.51%
11/15,-86.54%
11/16,-89.87%
11/17,-92.65%
11/18,-91.65%
11/19,-91.2%
11/20,-89.27%
11/21,-88.43%
11/22,-91.82%
11/23,-93.95%
11/24,-94.95%
11/25,-94.44%
11/26,-98.25%
11/27,-92.36%
11/28,-90.38%
11/29,-92.33%
11/30,-94.36%
12/1,-96.05%
12/2,-59.83%
12/3,-52.33%
12/4,-38.1%
12/5,-22.08%
12/6,-26.93%
12/7,-52.06%
12/8,-53.69%
12/9,-50.77%
12/10,-47.32%
12/11,-36.21%
12/12,-15.52%
12/13,-24.04%
12/14,-42.73%
12/15,-27.05%
12/16,-58.81%
12/17,-51.6%
12/18,-37.4%
12/19,-35.51%
12/20,-44.35%
