Major occupational group,Mean annual wage in U.S. dollars
Management Occupations,122480
Legal Occupations,109630
Computer and Mathematical Occupations,93760
Architecture and Engineering Occupations,88800
Healthcare Practitioners and Technical Occupations,83640
Business and Financial Operations Occupations,78130
"Life, Physical, and Social Science Occupations",77540
"Arts, Design, Entertainment, Sports, and Media Occupations",61960
Educational Instruction and Library Occupations,57710
Construction and Extraction Occupations,52580
Community and Social Service Occupations,50480
"Installation, Maintenance, and Repair Occupations",50130
Protective Service Occupations,49880
Sales and Related Occupations,43060
Office and Administrative Support Occupations,41040
Producation Occupations,40140
Transportation and Material Moving Occupations,37920
"Farming, Fishing, and Forestry Occupations",31340
Personal Care and Service Occupations,31260
Building and Grounds Cleaning and Maintenance Occupations,31250
Healthcare Support Occupations,31010
Food Preparation and Serving Related Occupations,26670
