Month,Number of people quarantined
Jan 06 '21,150303
Jan 05 '21,162514
Jan 04 '21,155608
Jan 03 '21,132060
Jan 02 '21,139957
Jan 01 '21,149396
Dec 31,164643
Dec 30,164847
Dec 29,159002
Dec 28,156453
Dec 27,141744
Dec 26,150399
Dec 25,161845
Dec 24,162608
Dec 23,181114
Dec 22,176634
Dec 21,163030
Dec 20,171536
Dec 19,166375
Dec 18,205175
Dec 17,208368
Dec 16,203638
Dec 15,183997
Dec 14,177899
Dec 13,191726
Dec 12,209390
Dec 11,208280
Dec 10,240381
Dec 09,219992
Dec 08,254786
Dec 07,237786
Dec 06,231300
Dec 05,253747
Dec 04,250594
Dec 03,262548
Dec 02,289972
Dec 01,268256
Nov 30,262959
Nov 29,292277
Nov 28,286117
Nov 27,336352
Nov 26,323887
Nov 25,338190
Nov 24,338769
Nov 23,334331
Nov 22,362959
Nov 21,356130
Nov 20,391837
Nov 19,408567
Nov 18,434034
Nov 17,415601
Nov 16,415174
Nov 15,409322
Nov 14,440025
Nov 13,430310
Nov 12,404352
Nov 11,431104
Nov 10,407486
Nov 9,376567
Nov 8,407579
Nov 7,441832
Nov 6,433524
Nov 5,430732
Nov 4,408121
Nov 3,421582
Nov 2,435343
Nov 1,439159
Oct 31,504706
Oct 30,496213
Oct 29,489079
Oct 28,479288
Oct 27,442109
Oct 26,445991
Oct 25,446154
Oct 24,478761
Oct 23,398851
Oct 22,378348
Oct 21,335060
Oct 20,289447
Oct 19,304567
Oct 18,320482
Oct 17,327507
Oct 16,311625
Oct 15,296020
Oct 14,249349
Oct 13,212446
Oct 12,250132
Oct 9,188629
Oct 8,171251
Oct 7,145873
Oct 6,159530
Oct 5,154365
Oct 2,139056
Oct 1,133981
Sep 30,129961
Sep 29,134588
Sep 28,136128
Sep 27,139460
Sep 26,143442
Sep 25,137023
Sep 24,125220
Sep 23,114000
Sep 22,115789
Sep 21,116871
Sep 20,118212
Sep 19,118864
Sep 18,111530
Sep 17,103425
Sep 16,94273
Sep 15,95241
Sep 14,92057
Sep 13,91819
Sep 12,90216
Sep 11,86892
Sep 10,83170
Sep 9,79124
Sep 8,76047
Sep 7,72285
Sep 4,71311
Sep 2,96664
Sep 1,96888
Aug 31,96351
Aug 28,101547
Aug 27,101678
Aug 26,99705
Aug 25,100023
Aug 24,98233
Aug 14,108309
Aug 13,108677
Aug 12,106915
Aug 11,105427
Aug 10,104167
Aug 5,100151
Aug 4,98875
Aug 3,96425
Aug 2,98282
Jul 31,97189
Jul 30,97561
Jul 29,95453
Jul 28,94920
Jul 27,92803
Jul 26,93311
Jul 24,93815
Jul 23,92577
Jul 22,90961
Jul 21,90767
Jul 20,89822
Jul 19,89956
Jul 17,86073
Jul 16,90496
Jul 15,87698
Jul 14,86747
Jul 13,85610
Jul 12,86168
Jul 11,86915
Jul 10,86712
Jul 9,85955
Jul 8,84363
Jul 7,85327
Jul 6,83767
Jul 5,83813
Jul 4,84560
Jul 3,84790
Jul 2,83521
Jul 1,83033
Jun 30,83499
Jun 29,83460
Jun 28,85603
Jun 27,89294
Jun 26,91461
Jun 25,92409
Jun 24,92992
Jun 23,93890
Jun 22,93830
Jun 21,94585
Jun 20,96795
Jun 19,97215
Jun 18,93722
Jun 17,96255
Jun 16,95641
Jun 15,94518
Jun 14,93094
Jun 13,92654
Jun 12,89609
Jun 11,88074
Jun 10,86002
Jun 9,84916
Jun 8,82921
Jun 7,82759
Jun 6,81820
Jun 5,81244
Jun 4,79341
Jun 3,78691
Jun 2,78470
Jun 1,77406
May 31,78823
May 30,80182
May 29,79995
May 28,79818
May 27,79007
May 26,78864
May 25,78259
May 24,79326
May 23,80635
May 22,77768
May 21,77461
May 20,76957
May 19,76645
May 18,80947
May 17,84542
May 16,90386
May 15,95068
May 14,96708
May 13,96062
May 12,96211
May 11,97002
May 10,100784
May 9,102996
May 8,104024
May 7,103913
May 6,101395
May 5,100765
May 4,96699
May 3,96612
May 2,95625
May 1,92458
Apr 30,88265
Apr 29,85837
Apr 28,82643
Apr 27,78878
Apr 26,79656
Apr 25,87003
Apr 24,97905
Apr 23,103129
Apr 22,98020
Apr 21,105602
Apr 20,111079
Apr 19,124311
Apr 18,118361
Apr 17,138004
Apr 16,142220
Apr 15,145875
Apr 14,144875
Apr 13,151548
Apr 12,162974
Apr 11,166974
Apr 10,158663
Apr 09,152898
Apr 08,153390
Apr 07,148130
Apr 06,143256
Apr 05,131888
Apr 04,160587
Apr 03,174997
Apr 02,183095
Mar 31,171994
Mar 24,167040
Mar 23,150746
Mar 22,128980
Mar 21,128920
Mar 20,109235
Mar 19,76764
Mar 18,57185
Mar 17,37510
Mar 16,10050
Mar 15,7535
Mar 14,4413
Mar 13,3151
Mar 12,2736
Mar 11,1193
Mar 10,1055
Mar 09,1014
Mar 08,932
Mar 07,1548
Mar 06,1299
Mar 05,490
Mar 04,349
