Year,GDP per capita in U.S. dollars
2025*,8690.04
2024*,8252.81
2023*,7736.76
2022*,7299.09
2021*,6728.17
2020*,6450.45
2019,8751.38
2018,9043.24
2017,9974.81
2016,8757.3
2015,8846.48
2014,12175.96
2013,12357.57
2012,12426.69
2011,13295.72
2010,11327.46
2009,8641.66
2008,8873.19
2007,7385.33
2006,5914.46
2005,4814.67
2004,3655.33
2003,3086.09
2002,2853.57
2001,3177.83
2000,3771.94
1999,3502.75
1998,5128.34
1997,5323.82
1996,5200.11
1995,4950.66
1994,3494.0
1993,2786.18
1992,2522.84
1991,2676.89
1990,3105.01
1989,3086.83
1988,2288.61
1987,2086.7
1986,1954.38
1985,1718.9
