Quarter,EBITDA in million GBP
Q1 2020,"1,813£"
Q4 2019,"2,007£"
Q3 2019,"1,977£"
Q2 2019,"1,965£"
Q1 2019,"1,958£"
Q4 2018,"2,026£"
Q3 2018,"2,062£"
Q2 2018,"2,058£"
Q1 2018,"1,980£"
Q4 2017,"2,036£"
Q3 2017,"1,936£"
Q2 2017,"1,820£"
Q1 2017,"1,785£"
Q4 2016,"2,024£"
Q3 2016,"1,942£"
Q2 2016,"1,945£"
Q1 2016,"1,854£"
Q4 2015,"2,028£"
Q3 2015,"1,584£"
Q2 2015,"1,421£"
Q1 2015,"1,426£"
Q4 2014,"1,819£"
Q3 2014,"1,567£"
Q2 2014,"1,450£"
Q1 2014,"1,435£"
Q4 2013,"1,705£"
Q3 2013,"1,537£"
Q2 2013,"1,434£"
Q1 2013,"1,440£"
Q4 2012,"1,664£"
Q3 2012,"1,539£"
Q2 2012,"1,488£"
Q1 2012,"1,452£"
