Month,Number of new cured patients
June 18,40
June 17,57
June 16,15
June 15,21
June 14,42
June 13,49
June 12,45
June 11,61
June 10,68
June 9,9
June 8,24
June 7,101
June 6,78
June 5,64
June 4,89
June 3,25
June 2,14
June 1,32
May 31,118
May 30,87
May 29,109
May 28,107
May 27,145
May 26,23
May 25,25
May 24,117
May 23,32
May 22,135
May 21,141
May 20,160
May 19,30
May 18,27
May 17,170
May 16,159
May 15,190
May 14,173
May 13,205
May 12,35
May 11,55
May 10,231
May 9,210
May 8,221
May 7,244
May 6,290
May 5,63
May 4,69
May 3,98
May 2,319
May 1,316
April 30,293
April 29,340
April 28,65
April 27,93
April 26,368
April 25,295
April 24,322
April 23,367
April 22,432
April 21,107
April 20,138
April 19,409
April 18,387
April 17,399
April 16,455
April 15,239
April 14,161
April 13,239
April 12,477
April 11,418
April 10,404
April 9,483
April 8,524
April 7,171
April 6,235
April 5,504
April 4,375
April 3,377
April 2,363
April 1,436
March 31,168
March 30,168
March 29,296
March 28,205
March 27,183
March 26,128
March 25,115
March 24,60
