municipality,Number of Police officers
Toronto,4790
Montréal,4295
Calgary,2123
Peel,2022
Edmonton,1885
York,1543
Winnipeg,1405
Vancouver,1330
Ottawa,1223
Durham,904
Surrey,798
Waterloo,757
Niagara,720
Québec,719
Halton,714
Longueuil,611
London,590
Laval,586
Halifax,530
Windsor,471
Saskatoon,465
Regina,397
Gatineau,393
St. John's,335
Burnaby,292
Greater  Sudbury,261
Richmond,245
Thunder Bay,242
Barrie,240
Victoria,238
Richelieu-Saint- Laurent,214
Abbotsford,214
Sherbrooke,209
Langley,208
Kingston,205
Guelph,201
Kelowna,196
Saguenay,187
Brantford,187
Red Deer,173
Terrebonne,171
Coquitlam,171
Chatham-Kent,164
Trois-Rivières,161
Delta,159
Lévis,155
Saanich,151
Codiac,143
Roussillon,115
