State,Voting rate
District of Columbia,75.9%
Mississippi,74.5%
Wisconsin,73.6%
Minnesota,73.2%
Massachusetts,70.8%
Colorado,70.4%
New Hampshire,69.4%
Iowa,69.4%
North Carolina,68.9%
Maine,68.6%
Oregon,67.6%
Delaware,67.3%
Virginia,66.9%
Michigan,66.8%
Louisiana,66.3%
Montana,65.7%
Washington,65.6%
Maryland,65.1%
South Carolina,64.7%
North Dakota,63.9%
Idaho,63.9%
Missouri,63.9%
Vermont,63.3%
Kansas,63.3%
Ohio,63.1%
Connecticut,62.7%
Rhode Island,62.5%
Georgia,61.9%
New Jersey,61.9%
Alabama,61.9%
U.S. total,61.8%
New Mexico,61.6%
Pennsylvania,61.6%
Nebraska,61.6%
Illinois,61.5%
South Dakota,61%
Florida,60.8%
Indiana,59.3%
Kentucky,59.3%
Wyoming,58.9%
New York,58.7%
Alaska,58.4%
Nevada,57.9%
California,57.5%
Utah,57%
Arizona,55.9%
Tennessee,55.7%
Texas,53.8%
Arkansas,53.3%
Oklahoma,52.4%
Hawaii,51.6%
West Virginia,47.8%
