disorder,Number of disability-adjusted life years in thousands
Lower respiratory infections,91.3
HIV/AIDS,84.4
Unipolar depressive disorders,67.2
Diarrhoeal diseases,61.9
Ischaemic heart diseases,58.6
Cerebrovascular disease,49.2
Malaria,46.5
Road traffic accidents,38.7
Tuberculosis,34.7
Chronic obstructive pulmonary disease,27.7
Congenital abnormalities,27.3
Hearing loss – adult onset,26.0
Cataracts,25.2
Measles,22.4
Violence,21.4
Self-inflicted injuries,20.7
Alcohol use disorders,20.3
Protein energy malnutrition,16.9
Falls,16.2
Diabetes mellitus,15.4
Schizophrenia,16.1
Asthma,15.3
Osteoarthritis,14.8
"Vision loss, age-related and other",14.1
Cirrhosis of the liver,13.9
