Year,Number of memberships
1965,6813
1966,7979
1967,8350
1968,9241
1969,11299
1970,13721
1971,14898
1972,17041
1973,19332
1974,22150
1975,23204
1976,25310
1977,25342
1978,27510
1979,30579
1980,24900
1981,27834
1982,29590
1983,32177
1984,32950
1985,34861
1986,34210
1987,34500
1988,32960
1989,34422
1990,36434
1991,43475
1992,45626
1993,50722
1994,50505
1995,52364
1996,48920
1997,48412
1998*,46712
1999**,46682
2000,41692
2001,41272
2002,39960
2003,38340
2004,37153
2005,37185
2006,35422
2007,34857
2008,34325
2009,32790
2010,32229
2011,30909
2012,29632
2013,28728
2014,28375
2015,27803
2016,27346
2017,26774
2018,26717
