Month,Number of COVID-19 patients hospitalized
"Jan 6, 2021",23174
"Jan 5, 2021",23395
"Jan 4, 2021",23317
"Jan 3, 2021",23075
"Jan 2, 2021",22948
"Jan 1, 2021",22822
"Dec 31, 2020",23151
"Dec 30, 2020",23566
"Dec 29, 2020",23662
"Dec 28, 2020",23932
"Dec 27, 2020",23571
"Dec 26, 2020",23312
"Dec 25, 2020",23402
"Dec 24, 2020",24070
"Dec 23, 2020",24546
"Dec 22, 2020",24948
"Dec 21, 2020",25145
"Dec 20, 2020",25158
"Dec 19, 2020",25364
"Dec 18, 2020",25769
"Dec 17, 2020",26427
"Dec 16, 2020",26897
"Dec 15, 2020",27342
"Dec 14, 2020",27765
"Dec 13, 2020",27735
"Dec 12, 2020",28066
"Dec 11, 2020",28562
"Dec 10, 2020",29088
"Dec 9, 2020",29653
"Dec 8, 2020",30081
"Dec 7, 2020",30524
"Dec 6, 2020",30391
"Dec 5, 2020",30158
"Dec 4, 2020",31200
"Dec 3, 2020",31772
"Dec 2, 2020",32454
"Dec 1, 2020",32811
"Nov 30, 2020",33187
"Nov 29, 2020",32879
"Nov 28, 2020",33299
"Nov 27, 2020",33684
"Nov 26, 2020",34038
"Nov 25, 2020",34313
"Nov 24, 2020",34577
"Nov 23, 2020",34697
"Nov 22, 2020",34279
"Nov 21, 2020",34063
"Nov 20, 2020",33957
"Nov 19, 2020",33610
"Nov 18, 2020",33504
"Nov 17, 2020",33074
"Nov 16, 2020",32536
"Nov 15, 2020",32047
"Nov 14, 2020",31398
"Nov 13, 2020",30914
"Nov 12, 2020",29873
"Nov 11, 2020",29444
"Nov 10, 2020",28633
"Nov 9, 2020",27636
"Nov 8, 2020",26440
"Nov 7, 2020",25109
"Nov 6, 2020",24005
"Nov 5, 2020",23256
"Nov 4, 2020",22116
"Nov 3, 2020",21114
"Nov 2, 2020",19840
"Nov 1, 2020",18902
"Oct 31, 2020",17966
"Oct 30, 2020",16994
"Oct 29, 2020",15964
"Oct 28, 2020",14981
"Oct 27, 2020",13955
"Oct 26, 2020",12997
"Oct 25, 2020",12006
"Oct 24, 2020",11287
"Oct 23, 2020",10549
"Oct 22, 2020",9694
"Oct 21, 2020",9057
"Oct 20, 2020",8454
"Oct 19, 2020",7676
"Oct 18, 2020",7131
"Oct 17, 2020",6617
"Oct 16, 2020",6178
"Oct 15, 2020",5796
"Oct 14, 2020",5470
"Oct 13, 2020",5076
"Oct 12, 2020",4821
"Oct 11, 2020",4519
"Oct 10, 2020",4336
"Oct 9, 2020",4086
"Oct 8, 2020",3925
"Oct 7, 2020",3782
"Oct 6, 2020",3625
"Oct 5, 2020",3487
"Oct 4, 2020",3287
"Oct 3, 2020",3205
"Oct 2, 2020",3142
"Oct 1, 2020",3097
"Sep 30, 2020",3047
"Sep 29, 2020",3048
"Sep 28, 2020",2977
"Sep 27, 2020",2846
"Sep 26, 2020",2746
"Sep 25, 2020",2737
"Sep 24, 2020",2731
"Sep 23, 2020",2658
"Sep 22, 2020",2604
"Sep 21, 2020",2475
"Sep 20, 2020",2365
"Sep 19, 2020",2380
"Sep 18, 2020",2387
"Sep 17, 2020",2348
"Sep 16, 2020",2285
"Sep 15, 2020",2222
"Sep 14, 2020",2122
"Sep 13, 2020",2042
"Sep 12, 2020",1951
"Sep 11, 2020",1849
"Sep 10, 2020",1836
"Sep 9, 2020",1778
"Sep 8, 2020",1760
"Sep 7, 2020",1719
"Sep 6, 2020",1683
"Sep 5, 2020",1620
"Sep 4, 2020",1607
"Sep 3, 2020",1505
"Sep 2, 2020",1437
"Sep 1, 2020",1380
"Aug 31 , 2020",1288
"Aug 30 , 2020",1251
"Aug 29 , 2020",1168
"Aug 28, 2020",1178
"Aug 27 , 2020",1131
"Aug 26 , 2020",1055
"Aug 25 , 2020",1058
"Aug 24 , 2020",1045
"Aug 23 , 2020",971
"Aug 22, 2020",924
"Aug 21 , 2020",919
"Aug 20 , 2020",883
"Aug 19 , 2020",866
"Aug 18 , 2020",843
"Aug 17, 2020",810
"Aug 16, 2020",787
"Aug 15, 2020",764
"Aug 14, 2020",771
"Aug 13, 2020",786
"Aug 12, 2020",779
"Aug 11, 2020",801
"Aug 10, 2020",779
"Aug 9, 2020",763
"Aug 8, 2020",771
"Aug 7, 2020",779
"Aug 6, 2020",762
"Aug 5, 2020",764
"Aug 4, 2020",761
"Aug 3, 2020",734
"Aug 2 , 2020",708
"Aug 1 , 2020",705
"Jul 31 , 2020",716
"Jul 30 , 2020",748
"Jul 29 , 2020",731
"Jul 28 , 2020",749
"Jul 27 , 2020",740
"Jul 26, 2020",735
"Jul 25 , 2020",731
"Jul 24 , 2020",713
"Jul 23 , 2020",713
"Jul 22 , 2020",724
"Jul 21 , 2020",732
"Jul 20, 2020",745
"Jul 19 , 2020",743
"Jul 18 , 2020",757
"Jul 17 , 2020",771
"Jul 16 , 2020",750
"Jul 15 , 2020",797
"Jul 14 , 2020",777
"Jul 13 , 2020",768
"Jul 12 , 2020",776
"Jul 11 , 2020",826
"Jul 10 , 2020",844
"Jul 9 , 2020",871
"Jul 8, 2020",899
"Jul 7, 2020",940
"Jul 6, 2020",946
"Jul 5, 2020",945
"Jul 4, 2020",940
"Jul 3, 2020",956
"Jul 2, 2020",963
"Jul 1, 2020",1025
"Jun 30, 2020",1090
"Jun 29, 2020",1120
"Jun 28, 2020",1160
"Jun 27, 2020",1260
"Jun 26, 2020",1356
"Jun 25, 2020",1515
"Jun 24, 2020",1610
"Jun 23, 2020",1853
"Jun 22, 2020",2038
"Jun 21, 2020",2314
"Jun 20, 2020",2474
"Jun 19, 2020",2632
"Jun 18, 2020",2867
"Jun 17, 2020",3113
"Jun 16, 2020",3301
"Jun 15, 2020",3489
"Jun 14, 2020",3594
"Jun 13, 2020",3747
"Jun 12, 2020",3893
"Jun 11, 2020",4131
"Jun 10, 2020",4320
"Jun 9, 2020",4581
"Jun 8, 2020",4729
"Jun 7, 2020",4864
"Jun 6, 2020",5002
"Jun 5, 2020",5301
"Jun 4, 2020",5503
"Jun 3, 2020",5742
"Jun 2, 2020",5916
"Jun 1, 2020",6099
"May 31, 2020",6387
"May 30, 2020",6680
"May 29, 2020",7094
"May 28, 2020",7379
"May 27, 2020",7729
"May 26, 2020",7917
"May 25, 2020",8185
"May 24, 2020",8613
"May 23, 2020",8695
"May 22, 2020",8957
"May 21, 2020",9269
"May 20, 2020",9624
"May 19, 2020",9991
"May 18, 2020",10207
"May 17, 2020",10311
"May 16, 2020",10400
"May 15 , 2020",10792
"May 14 , 2020",11453
"May 13 , 2020",12172
"May 12 , 2020",12865
"May 11 , 2020",13539
"May 10 , 2020",13618
"May 9 , 2020",13834
"May 8 , 2020",14636
"May 7 , 2020",15174
"May 6 , 2020",15769
"May 5 , 2020",16270
"May 4 , 2020",16823
"May 3 , 2020",17242
"May 2 , 2020",17357
"May 1 , 2020",17569
"Apr 30 , 2020",18149
"Apr 29 , 2020",19210
"Apr 28 , 2020",19723
"Apr 27 , 2020",20353
"Apr 26 , 2020",21372
"Apr 25 , 2020",21533
"Apr 24 , 2020",22068
"Apr 23 , 2020",22871
"Apr 22 , 2020",23805
"Apr 21 , 2020",24134
"Apr 20 , 2020",24906
"Apr 19 , 2020",25033
"Apr 18 , 2020",25007
"Apr 17 , 2020",25786
"Apr 16 , 2020",26893
"Apr 15 , 2020",27643
"Apr 14 , 2020",28011
"Apr 13 , 2020",28023
"Apr 12 , 2020",27847
"Apr 11 , 2020",28144
"Apr 10 , 2020",28242
"Apr 9 , 2020",28399
"Apr 8 , 2020",28485
"Apr 7 , 2020",28718
"Apr 6 , 2020",28976
"Apr 5, 2020",28949
"Apr 4 , 2020",29010
"Apr 3 , 2020",28741
"Apr 2 , 2020",28540
"Apr 1, 2020",28403
"Mar 31 , 2020",28192
"Mar 30 , 2020",27795
"Mar 29 , 2020",27386
"Mar 28 , 2020",26676
"Mar 27 , 2020",26029
"Mar 26 , 2020",24753
"Mar 25 , 2020",23112
"Mar 24 , 2020",21937
"Mar 23 , 2020",20692
"Mar 22 , 2020",19846
"Mar 21 , 2020",17708
"Mar 20 , 2020",16020
"Mar 19 , 2020",15757
"Mar 18 , 2020",14363
"Mar 17 , 2020",12894
"Mar 16 , 2020",11025
"Mar 15 , 2020",9663
"Mar 14 , 2020",8372
"Mar 13 , 2020",7426
"Mar 12 , 2020",6650
"Mar 11 , 2020",5838
"Mar 10, 2020",5038
"Mar 9 , 2020",4316
"Mar 8 , 2020",3557
"Mar 7 , 2020",2651
"Mar 6 , 2020",2394
"Mar 5 , 2020",1790
"Mar 4 , 2020",1346
"Mar 3 , 2020",1034
"Mar 2 , 2020",742
"Mar 1 , 2020",639
"Feb 29 , 2020",401
"Feb 28 , 2020",345
"Feb 27 , 2020",248
"Feb 26, 2020",128
"Feb 25 , 2020",114
"Feb 24 , 2020",101
