Year,GDP per capita in U.S. dollars
2025*,64503.29
2024*,62704.08
2023*,60780.61
2022*,58724.36
2021*,57210.82
2020*,51885.47
2019,54348.23
2018,56453.36
2017,55967.93
2016,51933.81
2015,51483.95
2014,61652.51
2013,65170.85
2012,68436.22
2011,67222.14
2010,56453.83
2009,45685.24
2008,49151.94
2007,45105.41
2006,37868.93
2005,36151.04
2004,32750.68
2003,27222.02
2002,21644.93
2001,19431.46
2000,20851.87
1999,21726.34
1998,20346.82
1997,22990.44
1996,23106.85
1995,20868.05
1994,19703.66
1993,17424.34
1992,18082.04
1991,18631.37
1990,18833.86
1989,18167.79
1988,16214.86
1987,12973.74
1986,11223.65
1985,10946.55
