Month,Number of deaths
Jan 3,75024
Jan 2,74570
Jan 1,74125
Dec 31,73512
Dec 30,72548
Dec 29,71567
Dec 28,71153
Dec 27,70796
Dec 26,70479
Dec 25,70249
Dec 24,69636
Dec 23,69051
Dec 22,68307
Dec 21,67616
Dec 20,67401
Dec 19,67075
Dec 18,66541
Dec 17,66052
Dec 16,65520
Dec 15,64908
Dec 14,64402
Dec 13,64170
Dec 12,64026
Dec 11,63506
Dec 10,63082
Dec 9,62566
Dec 8,62033
Dec 7,61434
Dec 6,61245
Dec 5,61014
Dec 4,60617
Dec 3,60113
Dec 2,59699
Dec 1,59051
Nov 30,58448
Nov 29,58245
Nov 28,58030
Nov 27,57551
Nov 26,57031
Nov 25,56533
Nov 24,55838
Nov 23,55230
Nov 22,55024
Nov 21,54626
Nov 20,54286
Nov 19,53775
Nov 18,53274
Nov 17,52745
Nov 16,52147
Nov 15,51934
Nov 14,51766
Nov 13,51304
Nov 12,50928
Nov 11,50365
Nov 10,49770
Nov 9,49238
Nov 8,49044
Nov 7,48888
Nov 6,48475
Nov 5,48120
Nov 4,47742
Nov 3,47250
Nov 2,46853
Nov 1,46717
Oct 31,46555
Oct 30,46229
Oct 29,45955
Oct 28,45675
Oct 27,45365
Oct 26,44998
Oct 25,44896
Oct 24,44745
Oct 23,44571
Oct 22,44347
Oct 21,44155
Oct 20,44113
Oct 19,44002
Oct 18,43646
Oct 17,43579
Oct 16,43429
Oct 15,43293
Oct 14,43155
Oct 13,43018
Oct 12,42875
Oct 11,42825
Oct 10,42760
Oct 9,42679
Oct 8,42592
Oct 7,42515
Oct 6,42445
Oct 5,42369
Oct 4,42350
Oct 3,42317
Oct 2,42268
Oct 1,42202
Sep 30,42143
Sep 29,42072
Sep 28,42001
Sep 27,41988
Sep 26,41971
Sep 25,41937
Sep 24,41902
Sep 23,41862
Sep 22,41825
Sep 21,41788
Sep 20,41777
Sep 19,41759
Sep 18,41732
Sep 17,41705
Sep 16,41684
Sep 15,41664
Sep 14,41637
Sep 13,41628
Sep 12,41623
Sep 11,41614
Sep 10,41608
Sep 9,41594
Sep 8,41586
Sep 7,41554
Sep 6,41551
Sep 5,41549
Sep 4,41537
Sep 3,41527
Sep 2,41514
Sep 1,41504
Aug 31,41501
Aug 30,41499
Aug 29,41498
Aug 28,41486
Aug 27,41477
Aug 26,41465
Aug 25,41449
Aug 24,41433
Aug 23,41429
Aug 22,41423
Aug 21,41405
Aug 20,41403
Aug 19,41397
Aug 18,41381
Aug 17,41369
Aug 16,41366
Aug 15,41361
Aug 14,41358
Aug 13,41347
Aug 12,41329
Aug 11,41309
Aug 10,41296
Aug 9,41278
Aug 8,41273
Aug 7,41270
Aug 6,41258
Aug 5,41240
Aug 4,41226
Aug 3,41208
Aug 2,41207
Aug 1,41202
Jul 31,41189
Jul 30,41169
Jul 29,41169
Jul 28,41135
Jul 27,41114
Jul 26,41111
Jul 25,41103
Jul 24,41088
Jul 23,41056
Jul 22,41047
Jul 21,41030
Jul 20,41005
Jul 19,40995
Jul 18,40984
Jul 17,40975
Jul 16,40949
Jul 15,40925
Jul 14,40899
Jul 13,40855
Jul 12,40845
Jul 11,40836
Jul 10,40819
Jul 9,40785
Jul 8,40754
Jul 7,40697
Jul 6,40643
Jul 5,40632
Jul 4,40613
Jul 3,40581
Jul 2,40532
Jul 1,40491
Jun 30,40394
Jun 29,40341
Jun 28,40320
Jun 27,40289
Jun 26,40249
Jun 25,40172
Jun 24,40073
Jun 23,39986
Jun 22,39892
Jun 21,39878
Jun 20,39847
Jun 19,39776
Jun 18,39692
Jun 17,39625
Jun 16,39515
Jun 15,39395
Jun 14,39366
Jun 13,39339
Jun 12,39232
Jun 11,39101
Jun 10,39025
Jun 9,38861
Jun 8,38666
Jun 7,38619
Jun 6,38565
Jun 5,38422
Jun 4,38164
Jun 3,38034
Jun 2,37780
Jun 1,37531
May 31,37445
May 30,37385
May 29,37231
May 28,36957
May 27,36614
May 26,36192
May 25,36061
May 24,35957
May 23,35578
May 22,35358
May 21,35067
May 20,34794
May 19,34466
May 18,33966
May 17,33820
May 16,33753
May 15,33342
May 14,32992
May 13,32640
May 12,32193
May 11,31579
May 10,31392
May 9,31175
May 8,30900
May 7,30321
May 6,29863
May 5,29216
May 4,28490
May 3,28218
May 2,27965
May 1,27381
Apr 30,26683
Apr 29,26049
Apr 28,25280
Apr 27,24311
Apr 26,23991
Apr 25,23627
Apr 24,22812
Apr 23,21802
Apr 22,21120
Apr 21,20273
Apr 20,19049
Apr 19,18479
Apr 18,18047
Apr 17,16942
Apr 16,16029
Apr 15,14993
Apr 14,14113
Apr 13,13037
Apr 12,12313
Apr 11,11656
Apr 10,10813
Apr 9,9691
Apr 8,8575
Apr 7,7545
Apr 6,6440
Apr 5,5873
Apr 4,5274
Apr 3,4518
Apr 2,3782
Apr 1,3125
Mar 31,2453
Mar 30,2050
Mar 29,1676
Mar 28,1464
Mar 27,1172
Mar 26,884
Mar 25,703
Mar 24,512
Mar 23,364
Mar 22,288
Mar 21,252
Mar 20,194
Mar 19,162
Mar 18,116
Mar 17,82
Mar 16,65
Mar 15,43
Mar 14,29
Mar 13,10
Mar 12,9
Mar 11,7
Mar 10,7
Mar 9,3
Mar 8,2
Mar 7,2
Mar 6,1
