Month,Number of individuals in thousands
Dec 18,106941
Dec 8,108269
Dec 1,109259
Nov 27,108989
Nov 17,106700
Nov 10,101200
Oct 30,99400
Oct 20,100393
Oct 12,101504
Oct 6,103469
Sep 29,105289
Sep 22,106300
Sep 15,108342
Sep 8,112011
Sep 1,116761
Aug 25,122229
Aug 18,130142
Aug 11,140040
Jul 31,139838
Jun 30,135988
Jun 23,143111
Jun 16,151470
Jun 9,160203
Jun 2,171439
May 29,181469
May 19,198587
May 12,218054
May 5,245989
Apr 30,269013
Apr 21,286895
Apr 7,291055
Mar 31,300634
Mar 24,291000
Mar 17,149165
Mar10,65344
Mar 3,65683
