Response,Share of respondents
Send a message on Facebook Messenger,51%
Browse your feed for posts from your Facebook friends or accounts you follow,45%
"Post a photo, written status update or video to your feed",37%
Watch a video in your feed,37%
Visit/use a Facebook group you are part of,34%
Watch other people's Facebook Stories,34%
Click or tap on an ad on Facebook,24%
Watch a video on Facebook Watch,23%
Shop or buy things from Facebook Marketplace,16%
Post to my Facebook Story,15%
Swipe up on a Facebook Story,14%
Make a purchase after clicking or tapping on a Facebook ad,13%
None of these,17%
