Response,Share of respondents
Continued to work (in total),64%
Working in spheres where limitations did not apply***,20%
Management said all employees will work as usual,25%
"Management let employees choose, protecting the salary",11%
"Individual entrepreneurs, freelancers, self-employed",8%
Will not work (in total),34%
Management sent all employees to the paid vacations,16%
Were sent on unpaid vacations,8%
Were already cut due to the current crisis,7%
Lost jobs as employers went bankrupt/ closed down due to the crisis,3%
