Month,Number of cases
"Jan 6, 2021",58780
"Jan 5, 2021",58749
"Jan 4, 2021",58721
"Jan 3, 2021",58697
"Jan 2, 2021",58662
"Jan 1, 2021",58629
"Dec 31, 2020",58599
"Dec 30, 2020",58569
"Dec 29, 2020",58542
"Dec 28, 2020",58529
"Dec 27, 2020",58524
"Dec 26, 2020",58519
"Dec 25, 2020",58509
"Dec 24, 2020",58495
"Dec 23, 2020",58482
"Dec 22, 2020",58461
"Dec 21, 2020",58432
"Dec 20, 2020",58422
"Dec 19, 2020",58403
"Dec 18, 2020",58386
"Dec 17, 2020",58377
"Dec 16, 2020",58353
"Dec 15, 2020",58341
"Dec 14, 2020",58325
"Dec 13, 2020",58320
"Dec 12, 2020",58313
"Dec 11, 2020",58305
"Dec 10, 2020",58297
"Dec 9, 2020",58291
"Dec 8, 2020",58285
"Dec 7, 2020",58273
"Dec 6, 2020",58260
"Dec 5, 2020",58255
"Dec 4, 2020",58242
"Dec 3, 2020",58239
"Dec 2, 2020",58230
"Dec 1, 2020",58228
"Nov 30, 2020",58218
"Nov 29, 2020",58213
"Nov 28, 2020",58205
"Nov 27, 2020",58199
"Nov 26, 2020",58195
"Nov 25, 2020",58190
"Nov 24, 2020",58183
"Nov 23, 2020",58165
"Nov 22, 2020",58160
"Nov 21, 2020",58148
"Nov 20, 2020",58143
"Nov 19, 2020",58139
"Nov 18, 2020",58135
"Nov 17, 2020",58130
"Nov 16, 2020",58124
"Nov 15, 2020",58119
"Nov 14, 2020",58116
"Nov 13, 2020",58114
"Nov 12, 2020",58102
"Nov 11, 2020",58091
"Nov 10, 2020",58073
"Nov 9, 2020",58064
"Nov 8, 2020",58056
"Nov 7, 2020",58054
"Nov 6, 2020",58047
"Nov 5, 2020",58043
"Nov 4, 2020",58036
"Nov 3, 2020",58029
"Nov 2, 2020",58020
"Nov 1, 2020",58019
"Oct 31, 2020",58015
"Oct 30, 2020",58003
"Oct 29, 2020",57994
"Oct 28, 2020",57987
"Oct 27, 2020",57980
"Oct 26, 2020",57973
"Oct 25, 2020",57970
"Oct 24, 2020",57965
"Oct 23, 2020",57951
"Oct 22, 2020",57941
"Oct 21, 2020",57933
"Oct 20, 2020",57921
"Oct 19, 2020",57915
"Oct 18, 2020",57911
"Oct 17, 2020",57904
"Oct 16, 2020",57901
"Oct 15, 2020",57892
"Oct 14, 2020",57889
"Oct 13, 2020",57884
"Oct 12, 2020",57880
"Oct 11, 2020",57876
"Oct 10, 2020",57866
"Oct 9, 2020",57859
"Oct 8, 2020",57849
"Oct 7, 2020",57840
"Oct 6, 2020",57830
"Oct 5, 2020",57819
"Oct 4, 2020",57812
"Oct 3, 2020",57800
"Oct 2, 2020",57794
"Oct 1, 2020",57784
"Sep 30, 2020",57765
"Sep 29, 2020",57742
"Sep 28, 2020",57715
"Sep 27, 2020",57700
"Sep 26, 2020",57685
"Sep 25, 2020",57665
"Sep 24, 2020",57654
"Sep 23, 2020",57639
"Sep 22, 2020",57627
"Sep 21, 2020",57606
"Sep 20, 2020",57576
"Sep 19, 2020",57558
"Sep 18, 2020",57543
"Sep 17, 2020",57532
"Sep 16, 2020",57514
"Sep 15, 2020",57488
"Sep 14, 2020",57454
"Sep 13, 2020",57406
"Sep 12, 2020",57357
"Sep 11, 2020",57315
"Sep 10, 2020",57229
"Sep 9, 2020",57166
"Sep 8, 2020",57091
"Sep 7, 2020",57044
"Sep 6, 2020",57022
"Sep 5, 2020",56982
"Sep 4, 2020",56948
"Sep 3, 2020",56908
"Sep 2, 2020",56860
"Sep 1, 2020",56852
"Aug 31, 2020",56812
"Aug 30, 2020",56771
"Aug 29, 2020",56717
"Aug 28, 2020",56666
"Aug 27, 2020",56572
"Aug 26, 2020",56495
"Aug 25, 2020",56435
"Aug 24, 2020",56404
"Aug 23, 2020",56353
"Aug 22, 2020",56266
"Aug 21, 2020",56216
"Aug 20, 2020",56099
"Aug 19, 2020",56031
"Aug 18, 2020",55938
"Aug 17, 2020",55838
"Aug 16, 2020",55747
"Aug 15, 2020",55661
"Aug 14, 2020",55580
"Aug 13, 2020",55497
"Aug 12, 2020",55395
"Aug 11, 2020",55353
"Aug 10, 2020",55292
"Aug 9, 2020",55104
"Aug 8, 2020",54929
"Aug 7, 2020",54797
"Aug 6, 2020",54555
"Aug 5, 2020",54254
"Aug 4, 2020",53346
"Aug 3, 2020",53051
"Aug 2, 2020",52825
"Aug 1, 2020",52512
"Jul 31, 2020",52205
"Jul 30, 2020",51809
"Jul 29, 2020",51531
"Jul 28, 2020",51197
"Jul 27, 2020",50838
"Jul 26, 2020",50369
"Jul 25, 2020",49888
"Jul 24, 2020",49375
"Jul 23, 2020",49098
"Jul 22, 2020",48744
"Jul 21, 2020",48434
"Jul 20, 2020",48035
"Jul 19, 2020",47912
"Jul 18, 2020",47655
"Jul 17, 2020",47453
"Jul 16, 2020",47126
"Jul 15, 2020",46878
"Jul 14, 2020",46629
"Jul 13, 2020",46283
"Jul 12, 2020",45961
"Jul 11, 2020",45783
"Jul 10, 2020",45613
"Jul 9, 2020",45423
"Jul 8, 2020",45298
"Jul 7, 2020",45140
"Jul 6, 2020",44983
"Jul 5, 2020",44800
"Jul 4, 2020",44664
"Jul 3, 2020",44479
"Jul 2, 2020",44310
"Jul 1, 2020",44122
"Jun 30, 2020",43907
"Jun 29, 2020",43661
"Jun 28, 2020",43459
"Jun 27, 2020",43246
"Jun 26, 2020",42955
"Jun 25, 2020",42736
"Jun 24, 2020",42623
"Jun 23, 2020",42432
"Jun 22, 2020",42313
"Jun 21, 2020",42095
"Jun 20, 2020",41833
"Jun 19, 2020",41615
"Jun 18, 2020",41473
"Jun 17, 2020",41216
"Jun 16, 2020",40969
"Jun 15, 2020",40818
"Jun 14, 2020",40604
"Jun 13, 2020",40197
"Jun 12, 2020",39850
"Jun 11, 2020",39387
"Jun 10, 2020",38965
"Jun 9, 2020",38514
"Jun 8, 2020",38296
"Jun 7, 2020",37910
"Jun 6, 2020",37527
"Jun 5, 2020",37183
"Jun 4, 2020",36922
"Jun 3, 2020",36405
"Jun 2, 2020",35836
"Jun 1, 2020",35292
"May 31, 2020",34884
"May 30, 2020",34366
"May 29, 2020",33860
"May 28, 2020",33249
"May 27, 2020",32876
"May 26, 2020",32343
"May 25, 2020",31960
"May 24, 2020",31616
"May 23, 2020",31068
"May 22, 2020",30426
"May 21, 2020",29812
"May 20, 2020",29364
"May 19, 2020",28794
"May 18, 2020",28343
"May 17, 2020",28038
"May 16, 2020",27356
"May 15, 2020",26891
"May 14, 2020",26098
"May 13, 2020",25346
"May 12, 2020",24671
"May 11, 2020",23787
"May 10, 2020",23336
"May 9, 2020",22460
"May 8, 2020",21707
"May 7, 2020",20939
"May 6, 2020",20198
"May 5, 2020",19410
"May 4, 2020",18778
"May 3, 2020",18205
"May 2, 2020",17548
"May 1, 2020",17101
"Apr 30, 2020",16169
"Apr 29, 2020",15641
"Apr 28, 2020",14951
"Apr 27, 2020",14423
"Apr 26, 2020",13624
"Apr 25, 2020",12693
"Apr 24, 2020",12075
"Apr 23, 2020",11178
"Apr 22, 2020",10141
"Apr 21, 2020",9125
"Apr 20, 2020",8014
"Apr 19, 2020",6588
"Apr 18, 2020",5992
"Apr 17, 2020",5050
