university,Number of students
La Sapienza University of Rome,101034
University of Bologna,81260
University of Naples Federico II,76665
University of Turin,72465
University of Milan,61721
University of Padua,59364
University of Florence,52707
Polytechnic University of Milan,45622
University of Pisa,45502
University of Bari,43464
University of Catania,41951
University of Palermo,40076
Catholic University of Milan,39499
University of Salerno,35775
University of Milano-Bicocca,33806
Polytechnic University of Turin,33404
University of Genoa,32349
Roma Tre University,32488
Pegaso online University,29962
University of Rome Tor Vergata,29420
