keywords,Average UK searches*
Vegetarian recipes,110000
Vegan recipes,90500
Vegan cake recipe,14800
Healthy vegetarian recipes,12100
Are oats gluten free,9900
What do vegans eat,8100
Vegan snacks,6600
Best vegan recipes,4400
What is a vegan diet,3600
Best vegan cookbooks,1900
What foods are gluten free,1000
What chocolate is vegan,720
Why should I go vegan,110
What can you eat on a gluten free diet,110
What can vegans eat for breakfast,110
What snacks are vegan,70
Which vegan milk is best,50
What vegan foods are high in protein,50
Where is a vegan restaurant near me,10
What are the best vegan meat substitutes,10
