Field of study,Average tuition fee in Canadian dollars
Dentistry,22562
Medicine,14483
Veterinary medicine,14270
Law,12813
Optometry,11235
Pharmacy,11133
Engineering,8047
"Mathematics, computer and information sciences",6895
"Business, management and public administration",6887
Total (all fields),6610
Architecture,6517
"Visual and performing arts, and communications technologies",6226
"Other health, parks, recreation and fitness",6172
Physical and life sciences and technologies,6156
"Personal, protective and transportation services",5726
"Agriculture, natural resources and conservation",5718
Nursing,5688
"Social and behavioural sciences, and legal studies",5632
Humanities,5602
Education,4761
