Year,GDP per capita in U.S. dollars
2025*,8648.41
2024*,8418.0
2023*,8215.53
2022*,7986.32
2021*,7667.57
2020*,7256.95
2019,7009.76
2018,5288.86
2017,5289.8
2016,5026.65
2015,4723.48
2014,5395.79
2013,5152.04
2012,5118.47
2011,7680.86
2010,6504.87
2009,5608.98
2008,5621.05
2007,4929.06
2006,3834.73
2005,3288.37
2004,2734.03
2003,2272.5
2002,1957.43
2001,5119.72
2000,5698.41
1999,4387.75
1998,3364.22
1997,3041.22
1996,2620.05
1995,1954.87
1994,1412.71
1993,1131.19
1992,872.34
1991,5417.51
1990,10556.09
1989,7128.94
1988,6137.68
1987,5465.15
1986,4222.51
1985,3776.61
