State,"Rate per 100,000 inhabitants"
District of Columbia,23.5
Louisiana,11.7
Mississippi,11.2
Alaska,9.4
Missouri,9.3
Maryland,9.0
South Carolina,9.0
New Mexico,8.6
Arkansas,8.0
Alabama,7.3
Tennessee,7.3
Oklahoma,6.7
Illinois,6.6
Georgia,6.2
North Carolina,6.0
Michigan,5.6
Indiana,5.6
Pennsylvania,5.2
Florida,5.2
Virginia,5.0
United States,5.0
Arizona,5.0
Delaware,4.9
Kentucky,4.9
Texas,4.9
Nevada,4.6
Ohio,4.6
West Virginia,4.4
California,4.3
Colorado,3.8
Kansas,3.6
Hawaii,3.4
North Dakota,3.1
Wisconsin,3.0
New York,2.9
Connecticut,2.9
New Jersey,2.9
Oregon,2.8
Washington,2.6
Montana,2.5
Rhode Island,2.4
New Hampshire,2.4
Nebraska,2.3
Massachusetts,2.2
Utah,2.2
Wyoming,2.2
Minnesota,2.1
Idaho,2.0
Iowa,1.9
South Dakota,1.9
Vermont,1.8
Maine,1.5
