Month,Number of new cases
Dec 15,736
Dec 14,3879
Dec 13,6873
Dec 12,8563
Dec 11,9658
Dec 10,9397
Dec 9,8614
Dec 8,7488
Dec 7,6667
Dec 6,6134
Dec 5,6552
Dec 4,7029
Dec 3,6278
Dec 2,6007
Dec 1,5451
Nov 30,4329
Nov 29,3913
Nov 28,4812
nov 27,4547
Nov 26,5624
Nov 25,4913
Nov 24,5109
Nov 23,4096
Nov 22,4136
Nov 21,5132
Nov 20,5649
Nov 19,6054
Nov 18,6135
Nov 17,4738
Nov 16,4702
Nov 15,3907
Nov 14,4819
Nov 13,5494
Nov 12,6107
Nov 11,6107
Nov 10,5728
Nov 9,4780
Nov 8,4402
Nov 7,5165
Nov 6,6052
Nov 5,6691
Nov 4,7147
Nov 3,7854
Nov 2,6861
Nov 1,7445
Oct 31,7694
Oct 30,8805
Oct 29,10326
Oct 28,9335
Oct 27,9044
Oct 26,10263
Oct 25,9364
Oct 24,11083
Oct 23,9268
Oct 22,8738
Oct 21,8149
Oct 20,7720
Oct 19,8439
Oct 18,8105
Oct 17,7978
Oct 16,7779
Oct 15,7271
Oct 14,7368
Oct 13,6844
Oct 12,6368
Oct 11,6493
Oct 10,5959
Oct 9,5813
Oct 8,4979
Oct 7,4517
Oct 6,4572
Oct 5,4000
Oct 4,3963
Oct 3,3820
Oct 2,3253
Oct 1,3293
Sep 30,3001
Sep 29,2909
Sep 28,2989
Sep 27,2711
Sep 26,2776
Sep 25,2541
Sep 24,2351
Sep 23,2243
Sep 22,2215
Sep 21,1843
Sep 20,1882
Sep 19,1972
Sep 18,1750
Sep 17,1540
Sep 16,1376
Sep 15,1298
Sep 14,1086
Sep 13,1231
Sep 12,1268
Sep 11,823
Sep 10,1140
Sep 9,963
Sep 8,797
Sep 7,925
Sep 6,654
Sep 5,744
Sep 4,421
Sep 3,914
Sep 2,461
Sep 1,525
Aug 31,508
Aug 30,500
Aug 29,507
Aug 28,510
Aug 27,570
Aug 26,414
Aug 25,572
Aug 24,456
Aug 23,508
Aug 22,534
Aug 21,529
Aug 20,552
Aug 19,568
Aug 18,563
Aug 17,431
Aug 16,436
Aug 15,544
Aug 14,590
Aug 13,686
Aug 12,601
Aug 11,680
Aug 10,525
Aug 9,568
Aug 8,623
Aug 7,559
Aug 6,538
Aug 5,671
Aug 4,488
Aug 3,472
Aug 2,335
Aug 1,365
Jul 31,342
Jul 30,247
Jul 29,223
Jul 28,205
Jul 27,214
Jul 26,137
Jul 25,191
Jul 24,163
Jul 23,168
Jul 22,163
Jul 21,240
Jul 20,144
Jul 19,127
Jul 18,103
Jul 17,99
Jul 16,106
Jul 15,53
Jul 14,90
Jul 13,101
Jul 12,81
Jul 11,42
Jul 10,52
Jul 9,61
Jul 8,56
Jul 7,49
Jul 6,30
Jul 5,43
Jul 4,79
Jul 3,59
Jul 2,75
Jul 1,74
Jun 30,49
Jun 29,68
Jun 28,74
Jun 27,71
Jun 26,96
Jun 25,111
Jun 24,83
Jun 23,70
Jun 22,69
Jun 21,98
Jun 20,91
Jun 19,116
Jun 18,132
Jun 17,119
Jun 16,140
Jun 15,165
Jun 14,143
Jun 13,179
Jun 12,210
Jun 11,164
Jun 10,184
Jun 9,164
Jun 8,165
Jun 7,239
Jun 6,183
Jun 5,210
Jun 4,209
Jun 3,86
Jun 2,102
Jun 1,103
May 31,185
May 30,131
May 29,176
May 28,182
May 27,190
May 26,133
May 25,209
May 24,172
May 23,176
May 22,188
May 21,253
May 20,198
May 19,108
May 18,146
May 17,125
May 16,189
May 15,200
May 14,270
May 13,227
May 12,196
May 11,161
May 10,245
May 9,289
May 8,319
May 7,455
May 6,232
May 5,317
May 4,199
May 3,335
May 2,445
May 1,475
Apr 30,514
Apr 29,386
Apr 28,171
Apr 27,400
Apr 26,655
Apr 25,655
Apr 24,806
Apr 23,887
Apr 22,708
Apr 21,729
Apr 20,750
Apr 19,1066
Apr 18,1140
Apr 17,1235
Apr 16,1061
Apr 15,734
Apr 14,868
Apr 13,964
Apr 12,1174
Apr 11,1316
Apr 10,1335
Apr 9,1213
Apr 8,969
Apr 7,777
Apr 6,952
Apr 5,1224
Apr 4,904
Apr 3,1026
Apr 2,1083
Apr 1,1019
Mar 31,845
Mar 30,884
Mar 29,1104
Mar 28,1159
Mar 27,1172
Mar 26,1019
Mar 25,852
Mar 24,811
Mar 23,545
Mar 22,573
Mar 21,637
Mar 20,534
Mar 19,409
Mar 18,346
Mar 17,292
Mar 16,278
Mar 15,176
Mar 14,155
Mar 13,190
Mar 12,111
Mar 11,121
Mar 10,56
Mar 9,61
Mar 8,77
Mar 7,60
Mar 6,46
Mar 5,44
Mar 3,15
Mar 2,14
Mar 1,3
Feb 29,5
Feb 28,1
Feb 27,1
