Response,Share of respondents
"Online stores (Amazon, Wal-mart, etc.)",70%
"Fast food restaurant (Chik-fil-a, McDonald’s, etc.)",43%
"Entertainment (music, movies, etc.)",41%
"Coffee shop (Starbucks, Dunkin’ Donuts, etc.)",37%
"Car service/Taxi (Uber, Lyft, etc.)",35%
"Games (Clash of Clans, Mobile Strike, etc.)",34%
"Speciality retail store (Best Buy, Office Depot, Stapes, etc.)",28%
Grocery store/supermarket,27%
"Gas (Exxon Mobil, Speedway, etc.)",22%
"Transportation (mass transit, parking fees, etc.)",15%
"Car sharing services (Zipcar, Car2go, RelayRides, etc.)",9%
"Other, please specify",0%
