Month,Units sold
Dec 19,3693
Nov 19,5466
Oct 19,4644
Sep 19,8216
Aug 19,3610
Jul 19,5391
Jun 19,6790
May 19,5471
Apr 19,4882
Mar 19,12682
Feb 19,2431
Jan 19,5522
Dec 18,2805
Nov 18,5352
Oct 18,4216
Sep 18,5281
Aug 18,3624
Jul 18,5689
Jun 18,6517
May 18,5674
Apr 18,5315
Mar 18,11829
Feb 18,2358
Jan 18,4203
Dec 17,3848
Nov 17,3947
Oct 17,4098
Sep 17,8343
Aug 17,2232
Jul 17,4171
Jun 17,4901
May 17,3882
Apr 17,3926
Mar 17,11200
Feb 17,1728
Jan 17,3854
Dec 16,3348
Nov 16,3668
Oct 16,3528
Sep 16,7308
Aug 16,1816
Jul 16,3154
