Month,Number of hospitalizations
Dec 14,59
Dec 13,126
Dec 12,133
Dec 11,206
Dec 10,160
Dec 9,160
Dec 8,154
Dec 7,198
Dec 6,125
Dec 5,132
Dec 4,180
Dec 3,178
Dec 2,139
Dec 1,133
Nov 30,156
Nov 29,103
Nov 28,94
Nov 27,162
Nov 26,174
Nov 25,149
Nov 24,133
Nov 23,188
Nov 22,152
Nov 21,128
Nov 20,154
Nov 19,175
Nov 18,179
Nov 17,183
Nov 16,235
Nov 15,138
Nov 14,136
Nov 13,225
Nov 12,195
Nov 11,216
Nov 10,220
Nov 9,265
Nov 8,158
Nov 7,145
Nov 6,222
Nov 5,226
Nov 4,235
Nov 3,230
Nov 2,366
Nov 1,213
Oct 31,195
Oct 30,269
Oct 29,255
Oct 28,264
Oct 27,262
Oct 26,319
Oct 25,222
Oct 24,192
Oct 23,303
Oct 22,265
Oct 21,267
Oct 20,240
Oct 19,281
Oct 18,180
Oct 17,210
Oct 16,223
Oct 15,212
Oct 14,202
Oct 13,244
Oct 12,235
Oct 11,156
Oct 10,144
Oct 9,206
Oct 8,155
Oct 7,145
Oct 6,155
Oct 5,163
Oct 4,102
Oct 3,135
Oct 2,120
Oct 1,104
Sep 30,108
Sep 29,99
Sep 28,108
Sep 27,76
Sep 26,19
Sep 25,89
Sep 24,101
Sep 23,91
Sep 22,69
Sep 21,80
Sep 20,46
Sep 19,54
Sep 18,68
Sep 17,51
Sep 16,44
Sep 15,38
Sep 14,49
Sep 13,24
Sep 12,19
Sep 11,42
Sep 10,18
Sep 9,32
Sep 8,20
Sep 7,27
Sep 6,22
Sep 5,16
Sep 4,13
Sep 3,16
Sep 2,9
Sep 1,2
Aug 31,9
Aug 30,6
Aug 29,2
Aug 28,6
Aug 27,3
Aug 26,5
Aug 25,10
Aug 24,7
Aug 23,1
Aug 22,9
Aug 21,8
Aug 20,7
Aug 19,2
Aug 18,6
Aug 17,11
Aug 16,10
Aug 15,8
Aug 14,10
Aug 13,9
Aug 12,11
Aug 11,8
Aug 10,0
Aug 9,5
Aug 8,2
Aug 7,6
Aug 6,2
Aug 5,1
Aug 4,2
Aug 3,7
Aug 2,3
Aug 1,4
Jul 31,9
Jul 30,12
Jul 29,4
Jul 28,6
Jul 27,3
Jul 26,1
Jul 25,5
Jul 24,3
Jul 23,5
Jul 22,3
Jul 21,1
Jul 20,2
Jul 19,4
Jul 18,2
Jul 17,3
Jul 16,0
Jul 15,1
Jul 14,1
Jul 13,4
Jul 12,1
Jul 11,0
Jul 10,1
Jul 9,2
Jul 8,1
Jul 7,2
Jul 6,0
Jul 5,1
Jul 4,0
Jul 3,0
Jul 2,0
Jul 1,1
Jun 30,1
Jun 29,0
Jun 28,1
Jun 27,2
Jun 26,0
Jun 25,3
Jun 24,2
Jun 23,2
Jun 22,4
Jun 21,2
Jun 20,3
Jun 19,11
Jun 18,3
Jun 17,4
Jun 16,4
Jun 15,3
Jun 14,5
Jun 13,9
Jun 12,6
Jun 11,3
Jun 10,4
Jun 9,4
Jun 8,3
Jun 7,4
Jun 6,3
Jun 5,11
Jun 4,12
Jun 3,9
Jun 2,6
Jun 1,9
May 31,8
May 30,5
May 29,9
May 28,16
May 27,7
May 26,10
May 25,8
May 24,13
May 23,10
May 22,9
May 21,13
May 20,14
May 19,34
May 18,27
May 17,15
May 16,45
May 15,35
May 14,27
May 13,52
May 12,35
May 11,36
May 10,22
May 9,58
May 8,35
May 7,39
May 6,27
May 5,89
May 4,42
May 3,44
May 2,97
May 1,85
Apr 30,84
Apr 29,76
Apr 28,88
Apr 27,65
Apr 26,75
Apr 25,100
Apr 24,123
Apr 23,137
Apr 22,124
Apr 21,118
Apr 20,75
Apr 19,110
Apr 18,129
Apr 17,156
Apr 16,182
Apr 15,188
Apr 14,210
Apr 13,147
Apr 12,196
Apr 11,189
Apr 10,225
Apr 9,237
Apr 8,308
Apr 7,292
Apr 6,260
Apr 5,253
Apr 4,336
Apr 3,502
Apr 2,625
Apr 1,447
Mar 31,722
Mar 30,507
Mar 29,529
Mar 28,454
Mar 27,349
Mar 26,315
Mar 25,341
